sample_idx,pos,arm,gt_tok,rec_tok,exact,top5,avg_kl_gpt2sft,accept_pct
5,3,hybrid_small,6456,1691,0,0,6.03729248046875,18.0
11,11,hybrid_small,290,1058,0,1,3.6299970149993896,34.0
17,14,hybrid_small,2688,2520,0,0,7.4871368408203125,8.0
23,19,hybrid_small,810,810,1,1,1.6025410332076717e-08,84.0
29,5,hybrid_small,635,407,0,1,2.110111951828003,20.0
35,7,hybrid_small,1966,257,0,1,5.082403182983398,34.0
41,12,hybrid_small,837,837,1,1,-2.23528786591487e-08,32.0
47,33,hybrid_small,262,262,1,1,-2.9798229661537334e-08,98.0
53,31,hybrid_small,22158,3517,0,0,0.18112713098526,38.0
59,30,hybrid_small,290,45091,0,1,10.269268989562988,0.0
65,27,hybrid_small,287,287,1,1,-2.232772647325909e-11,78.0
71,5,hybrid_small,47299,837,0,0,12.415124893188477,58.0
77,3,hybrid_small,2813,784,0,0,9.199056625366211,24.0
83,2,hybrid_small,12,5134,0,0,10.864675521850586,8.0
89,10,hybrid_small,7724,37674,0,0,0.7690946459770203,14.0
95,1,hybrid_small,796,5,0,1,7.726815223693848,12.0
101,13,hybrid_small,796,13,0,1,4.227517127990723,10.0
107,24,hybrid_small,262,262,1,1,-4.638422979041934e-11,100.0
113,5,hybrid_small,282,28374,0,0,1.6300013065338135,12.0
119,4,hybrid_small,318,837,0,1,3.563561201095581,6.0
125,9,hybrid_small,22230,22230,1,1,-9.313225746154785e-08,62.0
131,36,hybrid_small,423,423,1,1,2.9805129031501565e-08,98.0
137,3,hybrid_small,373,318,0,0,0.5658779144287109,10.0
143,24,hybrid_small,326,262,0,1,4.595124244689941,98.0
149,8,hybrid_small,290,5633,0,0,6.298939228057861,38.0
155,1,hybrid_small,262,262,1,1,-3.725302377688422e-08,100.0
161,3,hybrid_small,3596,796,0,0,14.736092567443848,50.0
167,3,hybrid_small,297,297,1,1,3.7228392812949096e-08,30.0
173,7,hybrid_small,10580,1923,0,0,5.34456729888916,4.0
179,11,hybrid_small,796,796,1,1,1.2398231774568558e-08,68.0
185,10,hybrid_small,796,796,1,1,-1.234002411365509e-08,8.0
191,8,hybrid_small,22717,352,0,1,2.222097158432007,2.0
197,6,hybrid_small,6638,6085,0,0,6.003073692321777,22.0
