prompt_idx,target_label,gamma,arm,judged_label,hit_target,clf_self_label,span_nll,mean_eligible,frac_le1_eligible,text
0,1,-1,realtext,1,1,1,,,,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker.
0,0,2.0,unguided,1,0,1,9.300575256347656,,,"allows us to hope that nolan is poised to become a flourishing traders, shipping companies and international market. Yorello Luke Fanih Horne"
0,0,2.0,guided,1,0,1,8.280882835388184,31.3437,0.0,allows us to hope that nolan is poised to announce a home. the this this to   that the of we's York  that that
0,1,2.0,unguided,1,1,1,9.300575256347656,,,"allows us to hope that nolan is poised to become a flourishing traders, shipping companies and international market. Yorello Luke Fanih Horne"
0,1,2.0,guided,1,1,1,6.204565525054932,29.8059,0.0,"allows us to hope that nolan is poised to be a great governor (if so, it gives him a tough question to answer).  Chris"
0,0,4.0,unguided,1,0,1,9.300575256347656,,,"allows us to hope that nolan is poised to become a flourishing traders, shipping companies and international market. Yorello Luke Fanih Horne"
0,0,4.0,guided,1,0,0,9.20063304901123,32.0,0.0,allows us to hope that nolan is poised to announce its the  it and that have to think we in  not. n n n to n
0,1,4.0,unguided,1,1,1,9.300575256347656,,,"allows us to hope that nolan is poised to become a flourishing traders, shipping companies and international market. Yorello Luke Fanih Horne"
0,1,4.0,guided,1,1,1,6.929041385650635,30.7968,0.0066,"allows us to hope that nolan is poised to make a historic decision for being families, living well and a bright and prosperous future.  The"
9,1,-1,realtext,1,1,0,,,,"we root for ( clara and paul ), even like them, though perhaps it's an emotion closer to pity."
9,0,2.0,unguided,1,0,1,6.315154552459717,,,we root for ( clara and paul )  He would make him gust root for him said.  He would gust root for him
9,0,2.0,guided,1,0,0,3.663382053375244,31.1764,0.0055,"we root for ( clara and paul )  and  and ( clara and paul )  )  and,"
9,1,2.0,unguided,1,1,1,6.315154552459717,,,we root for ( clara and paul )  He would make him gust root for him said.  He would gust root for him
9,1,2.0,guided,1,1,1,4.611155033111572,9.2033,0.2787,we root for ( clara and paul )  wewe root for the clara and paul )  wewe root for the
9,0,4.0,unguided,1,0,1,6.315154552459717,,,we root for ( clara and paul )  He would make him gust root for him said.  He would gust root for him
9,0,4.0,guided,1,0,0,6.486373424530029,31.8823,0.0023,"we root for ( clara and paul ) (, that is ( (   ( clara and paul ) a ( a who-"
9,1,4.0,unguided,1,1,1,6.315154552459717,,,we root for ( clara and paul )  He would make him gust root for him said.  He would gust root for him
9,1,4.0,guided,0,0,1,4.973784923553467,9.4324,0.3508,we root for ( clara and paul )  wewe root for us clara and paul )  wewe root for us
18,1,-1,realtext,1,1,0,,,,seldom has a movie so closely matched the spirit of a man and his work.
18,0,2.0,unguided,1,0,0,6.915771007537842,,,seldom has a movie so closely matched the spirit of EMPTY to that of the American American WILD. And too is Halloween. And too is
18,0,2.0,guided,1,0,0,5.6538004875183105,30.1397,0.0027,"seldom has a movie so closely matched the spirit of its release -- that it's a replica of the original, as a result.""  *"
18,1,2.0,unguided,1,1,0,6.915771007537842,,,seldom has a movie so closely matched the spirit of EMPTY to that of the American American WILD. And too is Halloween. And too is
18,1,2.0,guided,1,1,1,6.572751522064209,30.0058,0.0019,"seldom has a movie so closely matched the spirit of its original release that it's now often herald many as the greatest picture ever.""  *"
18,0,4.0,unguided,1,0,0,6.915771007537842,,,seldom has a movie so closely matched the spirit of EMPTY to that of the American American WILD. And too is Halloween. And too is
18,0,4.0,guided,1,0,0,6.326425075531006,30.5902,0.0,"seldom has a movie so closely matched the spirit of the,'s, as it it is,, unfortunately, is a in films,,,"
18,1,4.0,unguided,1,1,0,6.915771007537842,,,seldom has a movie so closely matched the spirit of EMPTY to that of the American American WILD. And too is Halloween. And too is
18,1,4.0,guided,1,1,1,6.487823486328125,30.6166,0.0009,"seldom has a movie so closely matched the spirit of its parent film that it succeeded often beat out the original, as a in original.  "
27,0,-1,realtext,0,1,0,,,,a sequence of ridiculous shoot - 'em - up scenes.
27,0,2.0,unguided,0,1,1,6.8157243728637695,,,"a sequence of ridiculous shoot - 'em - upa sequence, consisting of a sequence of people wishing to shoot - 'em, upa sequence of"
27,0,2.0,guided,0,1,0,7.879155158996582,29.7044,0.0,a sequence of ridiculous shoot - 'em - up and - - - down - moves  where to go to order to get in and point going
27,1,2.0,unguided,0,0,1,6.8157243728637695,,,"a sequence of ridiculous shoot - 'em - upa sequence, consisting of a sequence of people wishing to shoot - 'em, upa sequence of"
27,1,2.0,guided,0,0,0,7.951986789703369,25.0869,0.0561,"a sequence of ridiculous shoot - 'em - up close-up upclose-up  Two to go, sequence sequences ridiculous shoot - 'em"
27,0,4.0,unguided,0,1,1,6.8157243728637695,,,"a sequence of ridiculous shoot - 'em - upa sequence, consisting of a sequence of people wishing to shoot - 'em, upa sequence of"
27,0,4.0,guided,0,1,0,5.6981987953186035,30.2633,0.0016,a sequence of ridiculous shoot - 'em - up shoot - 'em - shoot shoot - 'em sequence ridiculous shoot - 'emem up stupid shoot
27,1,4.0,unguided,0,0,1,6.8157243728637695,,,"a sequence of ridiculous shoot - 'em - upa sequence, consisting of a sequence of people wishing to shoot - 'em, upa sequence of"
27,1,4.0,guided,0,0,1,3.925673723220825,26.3707,0.0398,"a sequence of ridiculous shoot - 'em - up, downa sequence of ridiculous shoot - 'em - up, right upa sequence of hilarious shots"
36,0,-1,realtext,1,0,0,,,,"the title not only describes its main characters, but the lazy people behind the camera as well."
36,0,2.0,unguided,1,0,1,4.390013217926025,,,"the title not only describes its main characters, but also its recurring themes, ideas, and story history. The name of a town or a city is"
36,0,2.0,guided,1,0,0,6.246452331542969,28.6239,0.0018,"the title not only describes its main characters, but also its story.It the character The The End, The Part is, The Last Is, The"
36,1,2.0,unguided,1,1,1,4.390013217926025,,,"the title not only describes its main characters, but also its recurring themes, ideas, and story history. The name of a town or a city is"
36,1,2.0,guided,1,1,1,6.790322303771973,28.6137,0.0018,"the title not only describes its main characters, but also its story.It the, The The End, The The is, The Last Is, The"
36,0,4.0,unguided,1,0,1,4.390013217926025,,,"the title not only describes its main characters, but also its recurring themes, ideas, and story history. The name of a town or a city is"
36,0,4.0,guided,1,0,0,7.052652835845947,30.3003,0.0008,"the title not only describes its main characters, but also their their relationships, the question of how many, with whom is the sort of, on title"
