prompt_idx,sample_idx,target_label,arm,judged_label,hit_target,clf_self_label,span_nll,text
0,0,0,unguided,1,0,1,7.95167875289917,"Once upon a time, something, a country, in particular have ruled by fiat and invoke inherent common sense on behalf of"
0,1,0,unguided,0,1,0,6.738293647766113,"Once upon a time, somehow impossible things are possible. I could hardly be in possession of such an unbelievable gift and opportunity"
0,2,0,unguided,1,0,0,4.969513893127441,"Once upon a time, someone asked me about it. And the answer was, it wasn't. It didn't."
0,3,0,unguided,1,0,1,8.524564743041992,"Once upon a time when’ were they undertaking the peculiar task of most savvy, most manipulative, most intelligent, most"
0,4,0,unguided,0,1,0,10.228439331054688,Once upon a time and the street all the front stalls henceforth had fared such morning and such time in such day
0,5,0,unguided,1,0,0,8.191741943359375,"Once upon a time (Appx., memory, driving, self-defence) with physical senses were all too commonly"
0,6,0,unguided,1,0,0,9.90063190460205,Once upon a time was there askance for“thank princess” k k k gk r k k k
0,7,0,unguided,1,0,1,4.126190185546875,"Once upon a time, it was essential that you were doing it.Once upon a time, it was essential that you"
0,8,0,unguided,1,0,0,4.813640117645264,Once upon a time all one was required to carry a title.Once upon a time all one were required to carry a
0,9,0,unguided,1,0,1,5.061357021331787,"Once upon a time, there was a sense of the universal, and it was there, there in the cool, of"
0,10,0,unguided,1,0,1,6.170388221740723,"Once upon a time, it is to say that the fruits of our ancestors are the ones we remember, it is customary"
0,11,0,unguided,0,1,0,7.96466064453125,"Once upon a time putting disk drives on hard drive or increasing any disk drive to hard drive, 60 degree incl. would"
0,12,0,unguided,1,0,0,9.439661979675293,"Once upon a time, itua or billialli awardua, fishing and billialli, feeding, smoking or"
0,13,0,unguided,1,0,0,6.317855358123779,"Once upon a time, it is both plains and valleys that; it is both plains and mountains that! This is older"
0,14,0,unguided,1,0,1,9.92823314666748,"Once upon a time, went gave you LJ remembered voices - last seen in Dragonman's Hole, black and white"
0,15,0,unguided,0,1,1,5.819153785705566,"Once upon a time, Once upon a time that they might feel fatigued. Their schedules were, oftentimes, seldom"
0,16,0,unguided,1,0,0,6.94411039352417,Once upon a time there was no resentment towards another’s-defiance.Once upon a time there is no
0,17,0,unguided,1,0,0,5.323821067810059,"Once upon a time, anyone can have their worst frighteningly (and often)Once upon a time, anyone can be"
0,18,0,unguided,0,1,1,6.27891731262207,Once upon a time a person had to be carried by the sword used in the Tudors.Those who all wore black
0,19,0,unguided,1,0,1,8.077651023864746,"Once upon a time, it was perfectly legal to enforce laws of contraception and abortion, whatever they ever such media would do"
0,0,0,guided,1,0,0,6.952249050140381,"Once upon a time there was no Earth/Around theTime the Foundation was formed (i.e. ""missing link"
0,1,0,guided,0,1,0,6.975831508636475,"Once upon a time, who for seemingly no other reason, needs to remember the past. Or just how - it has"
0,2,0,guided,1,0,1,11.264857292175293,"Once upon a time gone always promised a one by Moses"" Once upon becoming Religion People once upon a time?!"" Plato Plato"
0,3,0,guided,1,0,0,7.473387241363525,"Once upon a time consigned all of them  Once here, as once were the witnesses, the victims, the"
0,4,0,guided,1,0,1,10.682037353515625,Once upon a time both words available inside this shell absolutely FREE. Words are also speakers heard tags speaking of at least 322
0,5,0,guided,0,1,1,10.483163833618164,"Once upon a time when these ""cool"" actions were valued readthrough akin to guidelines defining how effective freedom press was deemed"
0,6,0,guided,0,1,1,8.958438873291016,Once upon a time (No longer exists) because slavery was a horrendous plague of starvation never once or seen since the Dawn
0,7,0,guided,1,0,1,10.317303657531738,Once upon a time'm&uponSaturdayth May 1981'm&uponSaturdayth May 121's tweet & uponFridayTh
0,8,0,guided,1,0,1,10.319233894348145,Once upon a time is accompanied universal participation of other men to submit them to a certain stature and beauty. Until majority religion
0,9,0,guided,1,0,1,7.952723979949951,"Once upon a time when everyone wondered that they re-acted his scenes, there are those who took part to a much"
