sample_idx,baseline,avg_kl,exact_match,num_masks
0,ground_truth,-1.3969838619232178e-09,1,1
0,untouched,0.4698593318462372,0,1
0,random_token,1.0748536586761475,0,1
0,cond_argmax,-1.3969838619232178e-09,1,1
0,cond_sample,0.02170238271355629,0,1
0,cond_topk_rescore,0.5877521634101868,0,1
0,gibbs,-1.3969838619232178e-09,1,1
1,ground_truth,1.1216343409614637e-09,1,1
1,untouched,9.178802490234375,0,1
1,random_token,11.254646301269531,0,1
1,cond_argmax,10.681709289550781,0,1
1,cond_sample,10.681709289550781,0,1
1,cond_topk_rescore,8.725776672363281,0,1
1,gibbs,10.681709289550781,0,1
2,ground_truth,3.3527612686157227e-08,1,1
2,untouched,6.279485702514648,0,1
2,random_token,6.12424898147583,0,1
2,cond_argmax,3.3527612686157227e-08,1,1
2,cond_sample,3.3527612686157227e-08,1,1
2,cond_topk_rescore,3.3527612686157227e-08,1,1
2,gibbs,3.3527612686157227e-08,1,1
3,ground_truth,-1.4901161193847656e-08,1,1
3,untouched,1.1619008779525757,0,1
3,random_token,8.033367156982422,0,1
3,cond_argmax,-1.4901161193847656e-08,1,1
3,cond_sample,-1.4901161193847656e-08,1,1
3,cond_topk_rescore,-1.4901161193847656e-08,1,1
3,gibbs,-1.4901161193847656e-08,1,1
4,ground_truth,2.2351741790771484e-08,1,1
4,untouched,10.5546293258667,0,1
4,random_token,16.87422752380371,0,1
4,cond_argmax,8.95161247253418,0,1
4,cond_sample,8.95161247253418,0,1
4,cond_topk_rescore,0.24828137457370758,0,1
4,gibbs,12.596417427062988,0,1
5,ground_truth,-2.6309862732887268e-08,1,1
5,untouched,4.737425804138184,0,1
5,random_token,4.781424522399902,0,1
5,cond_argmax,6.62152099609375,0,1
5,cond_sample,6.62152099609375,0,1
5,cond_topk_rescore,-2.6309862732887268e-08,1,1
5,gibbs,5.705080986022949,0,1
6,ground_truth,1.4901161193847656e-08,1,1
6,untouched,8.327239036560059,0,1
6,random_token,2.640298843383789,0,1
6,cond_argmax,12.019558906555176,0,1
6,cond_sample,15.219161987304688,0,1
6,cond_topk_rescore,0.02569013461470604,0,1
6,gibbs,1.4901161193847656e-08,1,1
7,ground_truth,9.672919532022206e-08,1,1
7,untouched,14.978723526000977,0,1
7,random_token,10.792259216308594,0,1
7,cond_argmax,10.858247756958008,0,1
7,cond_sample,10.858247756958008,0,1
7,cond_topk_rescore,7.093151569366455,0,1
7,gibbs,7.093151569366455,0,1
8,ground_truth,4.90384399753907e-10,1,1
8,untouched,6.1994123458862305,0,1
8,random_token,6.560986518859863,0,1
8,cond_argmax,4.90384399753907e-10,1,1
8,cond_sample,4.90384399753907e-10,1,1
8,cond_topk_rescore,4.90384399753907e-10,1,1
8,gibbs,4.90384399753907e-10,1,1
9,ground_truth,-3.026798367500305e-08,1,1
9,untouched,2.852956533432007,0,1
9,random_token,1.8148514032363892,0,1
9,cond_argmax,-3.026798367500305e-08,1,1
9,cond_sample,0.6770776510238647,0,1
9,cond_topk_rescore,-3.026798367500305e-08,1,1
9,gibbs,-3.026798367500305e-08,1,1
10,ground_truth,3.655441105365753e-08,1,1
10,untouched,6.057590961456299,0,1
10,random_token,10.636528968811035,0,1
10,cond_argmax,4.942972183227539,0,1
10,cond_sample,4.942972183227539,0,1
10,cond_topk_rescore,4.942972183227539,0,1
10,gibbs,4.942972183227539,0,1
11,ground_truth,4.6566128730773926e-09,1,1
11,untouched,13.738678932189941,0,1
11,random_token,15.26605224609375,0,1
11,cond_argmax,4.6566128730773926e-09,1,1
11,cond_sample,4.6566128730773926e-09,1,1
11,cond_topk_rescore,0.9993615746498108,0,1
11,gibbs,4.6566128730773926e-09,1,1
12,ground_truth,-2.751221472863108e-11,1,1
12,untouched,3.7567126750946045,0,1
12,random_token,5.271960258483887,0,1
12,cond_argmax,0.10651935636997223,0,1
12,cond_sample,0.10651935636997223,0,1
12,cond_topk_rescore,-2.751221472863108e-11,1,1
12,gibbs,0.10651935636997223,0,1
13,ground_truth,1.3037606549914926e-08,1,1
13,untouched,18.987884521484375,0,1
13,random_token,9.308820724487305,0,1
13,cond_argmax,11.320406913757324,0,1
13,cond_sample,8.086552619934082,0,1
13,cond_topk_rescore,9.292436599731445,0,1
13,gibbs,11.320406913757324,0,1
14,ground_truth,-7.450239536410663e-09,1,1
14,untouched,9.064647674560547,0,1
14,random_token,1.1320254802703857,0,1
14,cond_argmax,17.44338607788086,0,1
14,cond_sample,13.426265716552734,0,1
14,cond_topk_rescore,0.981420636177063,0,1
14,gibbs,4.466376781463623,0,1
15,ground_truth,-3.4226104617118835e-08,1,1
15,untouched,18.84343147277832,0,1
15,random_token,14.686752319335938,0,1
15,cond_argmax,21.933414459228516,0,1
15,cond_sample,21.933414459228516,0,1
15,cond_topk_rescore,18.363718032836914,0,1
15,gibbs,18.84343147277832,0,1
16,ground_truth,3.724153430084698e-09,1,1
16,untouched,16.47776985168457,0,1
16,random_token,14.742596626281738,0,1
16,cond_argmax,24.791406631469727,0,1
16,cond_sample,16.7750186920166,0,1
16,cond_topk_rescore,9.29529857635498,0,1
16,gibbs,16.47776985168457,0,1
17,ground_truth,1.2398231774568558e-08,1,1
17,untouched,23.267494201660156,0,1
17,random_token,22.514925003051758,0,1
17,cond_argmax,7.942000865936279,0,1
17,cond_sample,7.942000865936279,0,1
17,cond_topk_rescore,0.0019388713408261538,0,1
17,gibbs,7.942000865936279,0,1
18,ground_truth,1.5826685739739332e-08,1,1
18,untouched,6.703793048858643,0,1
18,random_token,11.599687576293945,0,1
18,cond_argmax,0.005570737645030022,0,1
18,cond_sample,10.18250560760498,0,1
18,cond_topk_rescore,0.004428839311003685,0,1
18,gibbs,0.011830496601760387,0,1
19,ground_truth,-2.0896777641610242e-08,1,1
19,untouched,10.917362213134766,0,1
19,random_token,15.153207778930664,0,1
19,cond_argmax,-2.0896777641610242e-08,1,1
19,cond_sample,-2.0896777641610242e-08,1,1
19,cond_topk_rescore,-2.0896777641610242e-08,1,1
19,gibbs,-2.0896777641610242e-08,1,1
20,ground_truth,1.4901161193847656e-08,1,1
20,untouched,14.025375366210938,0,1
20,random_token,11.142534255981445,0,1
20,cond_argmax,8.018205642700195,0,1
20,cond_sample,5.602670669555664,0,1
20,cond_topk_rescore,8.018205642700195,0,1
20,gibbs,8.018205642700195,0,1
21,ground_truth,2.3748725652694702e-08,1,1
21,untouched,14.240532875061035,0,1
21,random_token,13.366710662841797,0,1
21,cond_argmax,2.3748725652694702e-08,1,1
21,cond_sample,2.3748725652694702e-08,1,1
21,cond_topk_rescore,2.3748725652694702e-08,1,1
21,gibbs,2.3748725652694702e-08,1,1
22,ground_truth,2.3750544642098248e-08,1,1
22,untouched,12.338265419006348,0,1
22,random_token,5.384653568267822,0,1
22,cond_argmax,12.687067985534668,0,1
