sample_idx,pos,gt_tok,rec_tok,exact,top5,avg_kl_gpt2sft,num_masks
2,2,286,286,1,1,4.470348358154297e-08,1
8,7,416,416,1,1,6.186121481732698e-08,1
14,4,5567,18334,0,0,3.283024787902832,1
20,14,5093,788,0,1,7.082920551300049,1
26,8,10350,31926,0,0,18.298500061035156,1
32,7,13,13,1,1,-7.449727945640916e-09,1
38,7,13922,14526,0,1,0.5437712073326111,1
44,8,24414,24168,0,0,0.017806006595492363,1
50,2,4074,4074,1,1,2.7470605346024968e-08,1
56,8,42328,42328,1,1,-2.9802322387695312e-08,1
62,13,837,357,0,1,6.714280128479004,1
68,20,2168,7311,0,1,0.14203853905200958,1
74,45,45714,872,0,0,10.089349746704102,1
80,1,9368,9368,1,1,-5.959373083896935e-08,1
86,7,31093,31093,1,1,2.608481786126049e-08,1
92,8,8699,8275,0,0,2.4146482944488525,1
98,9,257,262,0,1,2.494131326675415,1
104,4,784,290,0,0,5.478876113891602,1
110,5,282,28374,0,1,1.6300013065338135,1
116,7,4539,11,0,0,6.462899208068848,1
122,18,1969,6692,0,0,0.3605075180530548,1
128,9,290,290,1,1,2.561137080192566e-09,1
134,1,10304,13,0,0,11.669502258300781,1
140,20,30685,636,0,0,6.0756683349609375,1
146,24,1793,3126,0,0,0.9136210680007935,1
152,3,705,11733,0,0,11.656896591186523,1
158,8,796,28,0,1,0.0013131843879818916,1
164,16,31526,5618,0,0,3.5633444786071777,1
170,7,1875,25,0,1,6.461723327636719,1
176,3,3517,9164,0,1,12.217273712158203,1
182,4,263,276,0,1,5.131316661834717,1
188,6,24414,3439,0,0,3.2818198204040527,1
194,1,796,28,0,1,6.716436862945557,1
