sample_idx,pos,arm,gt_tok,rec_tok,exact,top5,avg_kl_gpt2sft,accept_pct
5,3,hybrid_medium,6456,6456,1,1,8.195473810701515e-08,40.0
11,11,hybrid_medium,290,1222,0,1,0.6175821423530579,12.0
17,14,hybrid_medium,2688,2520,0,1,7.4871368408203125,54.0
23,19,hybrid_medium,810,810,1,1,1.6025410332076717e-08,96.0
29,5,hybrid_medium,635,717,0,1,5.042641639709473,30.0
35,7,hybrid_medium,1966,257,0,1,5.082403182983398,54.0
41,12,hybrid_medium,837,837,1,1,-2.23528786591487e-08,22.0
47,33,hybrid_medium,262,262,1,1,-2.9798229661537334e-08,52.0
53,31,hybrid_medium,22158,4960,0,0,0.08259622752666473,30.0
59,30,hybrid_medium,290,290,1,1,6.000675512041198e-08,98.0
65,27,hybrid_medium,287,287,1,1,-2.232772647325909e-11,88.0
71,5,hybrid_medium,47299,837,0,0,12.415124893188477,36.0
77,3,hybrid_medium,2813,8414,0,0,5.692414283752441,28.0
83,2,hybrid_medium,12,1439,0,0,8.99099063873291,24.0
89,10,hybrid_medium,7724,37674,0,0,0.7690946459770203,6.0
95,1,hybrid_medium,796,49215,0,1,9.412476539611816,6.0
101,13,hybrid_medium,796,13,0,1,4.227517127990723,36.0
107,24,hybrid_medium,262,262,1,1,-4.638422979041934e-11,100.0
113,5,hybrid_medium,282,42418,0,0,5.242924213409424,4.0
119,4,hybrid_medium,318,468,0,1,6.216824531555176,26.0
125,9,hybrid_medium,22230,22230,1,1,-9.313225746154785e-08,88.0
131,36,hybrid_medium,423,423,1,1,2.9805129031501565e-08,100.0
137,3,hybrid_medium,373,373,1,1,5.159790816833265e-08,8.0
143,24,hybrid_medium,326,262,0,1,4.595124244689941,100.0
149,8,hybrid_medium,290,1566,0,1,5.184904098510742,16.0
155,1,hybrid_medium,262,262,1,1,-3.725302377688422e-08,100.0
161,3,hybrid_medium,3596,1110,0,1,2.0718514919281006,20.0
167,3,hybrid_medium,297,297,1,1,3.7228392812949096e-08,82.0
173,7,hybrid_medium,10580,1923,0,0,5.34456729888916,10.0
179,11,hybrid_medium,796,796,1,1,1.2398231774568558e-08,96.0
185,10,hybrid_medium,796,796,1,1,-1.234002411365509e-08,94.0
191,8,hybrid_medium,22717,41,0,0,2.8326642513275146,10.0
197,6,hybrid_medium,6638,14499,0,0,6.444403171539307,16.0
