sample_idx,pos,arm,gt_tok,rec_tok,exact,top5,avg_kl_gpt2sft,accept_pct
3,34,hybrid_medium,11084,11084,1,1,-2.2351741790771484e-08,66.0
9,19,hybrid_medium,400,400,1,1,2.9744965601707918e-08,100.0
15,17,hybrid_medium,1375,569,0,1,13.223587036132812,16.0
21,41,hybrid_medium,13,13,1,1,9.359791874885559e-08,100.0
27,4,hybrid_medium,393,290,0,1,3.9955484867095947,90.0
33,1,hybrid_medium,2739,1966,0,0,8.521745681762695,20.0
39,18,hybrid_medium,16636,16636,1,1,-7.66249286243692e-10,42.0
45,3,hybrid_medium,1839,1839,1,1,-4.6566128730773926e-09,38.0
51,18,hybrid_medium,16736,18028,0,1,2.319269895553589,66.0
57,11,hybrid_medium,440,440,1,1,3.5804816889140056e-09,38.0
63,16,hybrid_medium,30151,8011,0,0,0.1401928961277008,12.0
69,22,hybrid_medium,393,706,0,1,7.826095104217529,20.0
75,32,hybrid_medium,42497,393,0,0,10.334818840026855,20.0
81,7,hybrid_medium,805,805,1,1,-1.7971615307033062e-09,96.0
87,21,hybrid_medium,329,329,1,1,-1.3127760212228168e-08,84.0
93,14,hybrid_medium,796,796,1,1,-2.2351741790771484e-08,50.0
99,13,hybrid_medium,290,290,1,1,-1.3690441846847534e-07,98.0
105,13,hybrid_medium,952,13,0,0,9.771106719970703,34.0
111,6,hybrid_medium,290,390,0,0,7.458323001861572,16.0
117,27,hybrid_medium,2488,2488,1,1,-3.733699127650425e-09,98.0
123,28,hybrid_medium,550,42664,0,1,6.293930530548096,0.0
129,11,hybrid_medium,41498,41498,1,1,7.450676520193156e-09,86.0
135,2,hybrid_medium,642,340,0,0,4.763830661773682,4.0
141,29,hybrid_medium,837,11,0,1,0.12642736732959747,98.0
147,2,hybrid_medium,6607,354,0,1,3.499032974243164,68.0
153,5,hybrid_medium,3841,4022,0,0,3.597407817840576,14.0
159,7,hybrid_medium,4473,796,0,0,10.23307991027832,10.0
165,39,hybrid_medium,5323,1510,0,0,0.45875081419944763,8.0
171,24,hybrid_medium,14729,15274,0,1,0.0006183824734762311,14.0
177,10,hybrid_medium,796,13,0,1,5.658567905426025,12.0
183,7,hybrid_medium,837,287,0,0,3.95157790184021,10.0
189,9,hybrid_medium,796,796,1,1,-4.656612873077393e-10,76.0
195,11,hybrid_medium,837,5016,0,0,5.133326530456543,18.0
