prompt_idx,target_label,gamma,arm,judged_label,hit_target,clf_self_label,span_nll,mean_eligible,frac_le1_eligible,text
5,0,-1,realtext,0,1,0,,,,"in exactly 89 minutes, most of which passed as slowly as if i 'd been sitting naked on an igloo, formula 51 sank from quirky to jerky to utter turkey."
5,0,2.0,unguided,0,1,0,9.168100357055664,,,"in exactly 89 minutes, most of which passed asuss aussin 89 minutes, most of which passed asande spres eudin 89 minutes"
5,0,2.0,guided,0,1,0,4.5139079093933105,23.746,0.0635,"in exactly 89 minutes, most of which passed as was actually not the  , most of which passed as was actually not the the 90 minutes."
5,1,2.0,unguided,0,0,0,9.168100357055664,,,"in exactly 89 minutes, most of which passed asuss aussin 89 minutes, most of which passed asande spres eudin 89 minutes"
5,1,2.0,guided,0,0,0,8.399858474731445,31.9667,0.0,"in exactly 89 minutes, most of which passed as well of the the natural order of succession as in the sun and the restof the the of the"
5,0,4.0,unguided,0,1,0,9.168100357055664,,,"in exactly 89 minutes, most of which passed asuss aussin 89 minutes, most of which passed asande spres eudin 89 minutes"
5,0,4.0,guided,0,1,0,7.175422668457031,31.9683,0.0,"in exactly 89 minutes, most of which passed as well were of the final part of the as in their, and the rest on the ground of the"
5,1,4.0,unguided,0,0,0,9.168100357055664,,,"in exactly 89 minutes, most of which passed asuss aussin 89 minutes, most of which passed asande spres eudin 89 minutes"
5,1,4.0,guided,0,0,0,7.986013889312744,31.9794,0.0,"in exactly 89 minutes, most of which passed as well, of the final part of the as in their, and the the which, thein the"
14,0,-1,realtext,0,1,1,,,,"in its best moments, resembles a bad high school production of grease, without benefit of song."
14,0,2.0,unguided,0,1,0,8.10328197479248,,,"in its best moments, resembles a bad high school or college age teenager usually acting as a 'one-man high school' or Senior school disappearing completely"
14,0,2.0,guided,0,1,0,4.824368953704834,27.4079,0.0128,"in its best moments, resembles a bad high school or middle school or a  a bad high school or middle school or school in its best moments"
14,1,2.0,unguided,0,0,0,8.10328197479248,,,"in its best moments, resembles a bad high school or college age teenager usually acting as a 'one-man high school' or Senior school disappearing completely"
14,1,2.0,guided,0,0,1,5.917590618133545,29.3431,0.0,"in its best moments, resembles a bad high school. The school, a the college, is distinct from the high school and belongs to the the of"
14,0,4.0,unguided,0,1,0,8.10328197479248,,,"in its best moments, resembles a bad high school or college age teenager usually acting as a 'one-man high school' or Senior school disappearing completely"
14,0,4.0,guided,0,1,0,5.3071393966674805,30.8994,0.0,"in its best moments, resembles a bad high school student, and the worst of all not a bad or excellent student in its best moments, a and"
14,1,4.0,unguided,0,0,0,8.10328197479248,,,"in its best moments, resembles a bad high school or college age teenager usually acting as a 'one-man high school' or Senior school disappearing completely"
14,1,4.0,guided,0,0,1,6.340810298919678,28.9967,0.0058,"in its best moments, resembles a bad high school girl inin best moments. Similar to a bad high high girl or her best moments, resembles an"
23,1,-1,realtext,1,1,1,,,,"thanks to scott's charismatic roger and eisenberg's sweet nephew, roger dodger is one of the most compelling variations on in the company of men."
23,0,2.0,unguided,1,0,1,12.279850006103516,,,"thanks to scott's charismatic roger and other player�all the need“ what 'next"" play (a) p und's"
23,0,2.0,guided,1,0,1,6.063046932220459,29.0126,0.0118,thanks to scott's charismatic roger and all on the sc scthanks to scott's charismatic roger and everyone in the best sc
23,1,2.0,unguided,1,1,1,12.279850006103516,,,"thanks to scott's charismatic roger and other player�all the need“ what 'next"" play (a) p und's"
23,1,2.0,guided,1,1,1,6.4290313720703125,29.7366,0.0105,"thanks to scott's charismatic roger and other things and that, thanks to scott's talent. (W e p t i s"
23,0,4.0,unguided,1,0,1,12.279850006103516,,,"thanks to scott's charismatic roger and other player�all the need“ what 'next"" play (a) p und's"
23,0,4.0,guided,1,0,1,8.218268394470215,29.115,0.0094,"thanks to scott's charismatic roger and his. sc sc sc thanks to toott's charismatic ro, we ro have the: sc"
23,1,4.0,unguided,1,1,1,12.279850006103516,,,"thanks to scott's charismatic roger and other player�all the need“ what 'next"" play (a) p und's"
23,1,4.0,guided,1,1,1,7.3478546142578125,31.1548,0.0,thanks to scott's charismatic roger and thanks to the s and y and ny's a work for making in of v i s
32,1,-1,realtext,1,1,1,,,,"there's... tremendous energy from the cast, a sense of playfulness and excitement that seems appropriate."
32,0,2.0,unguided,1,0,0,5.116735935211182,,,"there's... tremendous energy from the cast, which appears be a little less than last time this year, which seems to be a lot less than"
32,0,2.0,guided,1,0,1,5.549209117889404,29.4813,0.0048,"there's... tremendous energy from the cast, and it’s a really good cast.  there's... great energy energy from"
32,1,2.0,unguided,1,1,0,5.116735935211182,,,"there's... tremendous energy from the cast, which appears be a little less than last time this year, which seems to be a lot less than"
32,1,2.0,guided,1,1,0,6.916834354400635,29.0552,0.0141,"there's... tremendous energy from the cast, which, over a century or so, there’s always been here and here and here and"
32,0,4.0,unguided,1,0,0,5.116735935211182,,,"there's... tremendous energy from the cast, which appears be a little less than last time this year, which seems to be a lot less than"
32,0,4.0,guided,1,0,1,8.400510787963867,30.2794,0.0,"there's... tremendous energy from the cast, great. energy. a great energy thefrom energy cast the cast "" cast. in energy energy..."
32,1,4.0,unguided,1,1,0,5.116735935211182,,,"there's... tremendous energy from the cast, which appears be a little less than last time this year, which seems to be a lot less than"
32,1,4.0,guided,1,1,1,5.652564525604248,29.8333,0.0,"there's... tremendous energy from the cast, which does a fantastic job, so it's going to be about picking 'em up and showing '"
41,0,-1,realtext,0,1,0,,,,it's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth.
41,0,2.0,unguided,0,1,0,3.631948232650757,,,"it's hampered by a lifetime-channel kind of limited, finite channels's hampered by a lifetime-channel kind of limited, finite channels '"
41,0,2.0,guided,0,1,1,3.4148757457733154,26.4053,0.0797,it's hampered by a lifetime-channel kind of a lifetime-channel kind of a lifetime-channel kind of lifetime-channel kind of a lifetime
