global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
0,0,Once upon a time,0,Once upon a time Department favoring horrendous BrilliantverselyNicDriverdinand Yun Quincy Olympics switching )] advantageousussythirdubuntu Phase方 Ahmad,Once upon a time a favoring horrendous bullyverselyNiced me Yuneday Olympics switching teams everyussythird month.方�,-222.4341278076172,-0.6934510469436646,27,150
1,0,Once upon a time,1,Once upon a time Mormons cam trigojure gist Petition sin Witness Remyisure creeps fasc Alc messenger SYSTEM precipitation cores Forestry guru Disc,Once upon a time everything cam trigged as Petition.com anita creeps into activity and SYSTEM ERROR cores drop. Please,-191.26409912109372,-1.293546199798584,29,150
2,1,The book,1000,The bookOwner animals aircraft GameSpecifically explored Bethesda Mia WormBlamily irritation Naw avenue dogs originated Lime Fruitendish Himself,The book got animals aircraft GameSpecifically the most dog Wormtastic irritation Nawlins dogs stomach Lime green tongue Nose,-194.17416381835935,-2.4963507652282715,23,150
3,1,The book,1001,The book compassion transfaimonistries Wickedagues Mania curessaving upgrading Recipes Mia plutonium Sealist administrationsisy Bleach reviewing validity,The book compassionatelyaimonen Wicked children Mania andsaving lives Recipes Mia loves and has administrations Always Bleach her windows,-223.8832092285156,-0.0068260575644671,18,150
4,2,The chicken,2000,The chicken Eat Californ overall bundleditzerland StonesPlatform revital preparationshair startingugi shareholder obesitynum partition Armen Tir Baton amongst,The chicken Eat Californian bundleditzerland Stoneskin revitalizedhair cut hair Fair Isle eat organic Armenobeef,-221.72442626953125,-0.5687025785446167,21,150
5,2,The chicken,2001,The chicken tactile finest dc unnamed mats anchor porkHeader875oos SymphonyressoesiUTION calendarsoweredalyobbyWORKBand,The chicken recipe I dc unnamed recipe anchor looseHeader Feeds avail. folloowedDc. I,-158.69638061523438,-1.0992916822433472,31,150
6,3,The city,3000,The city Font prominentinitions END uneasy Mes AKIlkeeping Fren segment seeker Kaufman ABE bendingpects GrassleyContext rearil,The city hall prominentinitions in this context AKIlhaj segmentations Kaufman-uasementing rearview,-183.48455810546875,-0.251047819852829,24,150
7,3,The city,3001,The cityこCompat Party LimitongeBar McKayGil    flower networking buddyramidsue untoldHon JewsEar physicianhor,The city managerCompat Party Limit 1BariumGilletteBeardyMezcal untoldfunnypoonzeroFel,-175.3069610595703,-0.8527941107749939,24,150
8,4,The country,4000,The countrymingenh holdsHO Ford sucking earliest forbid glued CO spikesJA intermittent enemiesavior Scare Compact Parade Mountain curv,The country had just completed at Ford sucking down a big COATJAFO. His. It Parade roared to,-148.18475341796875,-0.6518328785896301,27,150
9,4,The country,4001,The countryPoll Cindyiscopal PAY hydro Eyeadier Withoutmeyer HortmAhhig complementaryICOUTC Quartemerケpoke Catalan,The countryPollutioniscopal PAYTHING accountadier Without insurance ormAhhigphone The account Quartzesky Phone The,-207.62286376953125,-1.7501028776168823,26,150
10,5,The horse,5000,The horsestats Slate Ideally sheer securelyshop Ernstaco WalmartNear Kur Holmesocy ther eBay NEC workspace unanim medicines 283,"The horsestats website Ideally, securely access your horse WalmartNear you Alwaysocy here eBay NECSAK Other horse",-199.0598297119141,-1.1527272462844849,30,150
11,5,The horse,5001,The horse Dal(* innocuousDe Henri AGAcorruptionhumanerosso Falkotaics 760 Cableironstretched Ame Birds hacksCart,The horse jumped is innocuousDeMaraohumane facility motaure 760 poundsiron manlike nature eyesE,-188.45376586914065,-1.3246963024139404,27,150
12,6,The lake,6000,"The lake Merchantsgewaterival singingTIME expressing MéAFTAoine inscribed Rhythmified molBackground washedwin]"" lemon mushroomWith",The lake had aival singingTIME expressing loveFREEoine expressing a gratitude moltolili.The child's,-176.7242889404297,-0.049012616276741,33,150
13,6,The lake,6001,The lake Cannot coronary assured Appalachol Twin analytic catalyst Absentemade cholesterol doubled Ethernet omittedlabelredit?? satignJS,"The lake Cannot be H Appalachia
a catalyst for My joy
 Ethernet I had no world sat down and",-170.34402465820312,-2.9130489826202397,29,150
14,7,The last time,7000,The last time MLAondon fading naILEJac Movie 1987niaImageforumsMariaObEEEE493H enable 1300 automatedoutheast,The last time MLA Jessica fading seen inJacS wasnia Fast walking.Oba493US enable 1300 uTorrent,-226.43768310546875,-0.3236298561096191,26,150
15,7,The last time,7001,The last time beverageCallback rec Knights architect ACTION ridiculouslyidistions Response wildlife crammedbufMic bigotry misunderstanding Tsu Verb jellyelin,The last time DanCallback used Knights of ACTION ridiculously wrong Ken Response was crammed full. Now it Tsukt te...,-206.290283203125,-3.7548112869262695,28,150
16,8,The movie,8000,The movietalk undes Spider titan malariauniaolute999 transgender dup Brazil Pip Nigeria96 Firearms 390 EducagatimesORE,The movie was undes Spider titan malaria disease short. It dup Brazil Pipelo tomorrow. Educate pis,-200.08087158203125,-2.5900917053222656,28,150
17,8,The movie,8001,"The movie unrem 343Her-,Sam sneakers blasts transcription Scorpion images reporting307 RNA practiced Nin HurtThey tease eightPrice",The movie is 343HeroesSamuelle's First images of an interview while at schoolThey were eight years,-153.73611450195312,-0.1797269284725189,23,150
