global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
1,0,Once upon a time,1,Once upon a time Mormons cam trigojure gist Petition sin Witness Remyisure creeps fasc Alc messenger SYSTEM precipitation cores Forestry guru Disc,Once upon a time everything cam trigg. university. Now everythingisure creeps into the school daily. The up and coming,-137.4803466796875,-0.7441595792770386,56,600
5,1,The book,1001,The book compassion transfaimonistries Wickedagues Mania curessaving upgrading Recipes Mia plutonium Sealist administrationsisy Bleach reviewing validity,The book compassionatelyaimonpt Wicked author Angels andsaving lives Recipes Mia loves and has used Always brings comfort and,-180.5512237548828,-0.0011619728757068515,53,600
9,2,The chicken,2001,The chicken tactile finest dc unnamed mats anchor porkHeader875oos SymphonyressoesiUTION calendarsoweredalyobbyWORKBand,"The chicken recipe I dc unnamed recipe anchor itHeader Feeding avgo dish dcs. karate label,",-159.5816650390625,-0.32536008954048157,81,600
13,3,The city,3001,The cityこCompat Party LimitongeBar McKayGil    flower networking buddyramidsue untoldHon JewsEar physicianhor,The cityこの Party LimitongeBariumGilletteThe networking eventramidsock The weekend begins. People gather,-165.15093994140625,-0.2501043677330017,61,600
17,4,The country,4001,The countryPoll Cindyiscopal PAY hydro Eyeadier Withoutmeyer HortmAhhig complementaryICOUTC Quartemerケpoke Catalan,"The countryPollutioniscopal PAYABLE accountBalance Without insurance or cash theHobbyist Quartzesit,his",-172.44558715820312,-1.3682568073272705,60,600
21,5,The horse,5001,The horse Dal(* innocuousDe Henri AGAcorruptionhumanerosso Falkotaics 760 Cableironstretched Ame Birds hacksCart,The horse bolted is friendsDeMorgecorruptionhumane abuseStoicism 760 lbs.stretchedLoose reinsBe,-159.83509826660156,-1.9581127166748047,43,600
25,6,The lake,6001,The lake Cannot coronary assured Appalachol Twin analytic catalyst Absentemade cholesterol doubled Ethernet omittedlabelredit?? satignJS,The lake Cannot coronary O Appalachia is analytic. Absent Ae it doubled it was halved. Chi exceeded The,-170.3887939453125,-1.084657907485962,56,600
29,7,The last time,7001,The last time beverageCallback rec Knights architect ACTION ridiculouslyidistions Response wildlife crammedbufMic bigotry misunderstanding Tsu Verb jellyelin,The last time I went to Boston architect ACTION! did t Response did..... IPage6.,-140.93255615234375,-0.49550312757492065,55,600
33,8,The movie,8001,"The movie unrem 343Her-,Sam sneakers blasts transcription Scorpion images reporting307 RNA practiced Nin HurtThey tease eightPrice",The movie starts 343HeroesSamuelle8 favorite images from sports moments while at recessThey are framed and,-148.53199768066406,-0.026576297357678413,48,600
37,9,The painting,9001,The painting srfAttachangular Experimental WeddingooArmyories trackergiene riotsesi278 DUP Olivier st.--Map625 considering airline,The painting srfAttach had snapped Wedding photo op time tracker off riots guardart displayed guests were ignoredThe painting needs to,-188.7405242919922,-2.763145685195923,57,600
41,10,The pizza,10001,The pizza declaration269Scale judication AmonirableentialichaelJS disturb delta true utility Choi Infantry surrounded shin hiatus Cohen,"The pizza declaration cameScalecoats was atential PJSale, true color Images, surrounded by cheese.",-154.99029541015625,-0.03929036483168602,62,600
45,11,The potato,11001,The potato Rewardsini‑ sick param DynamOSEDIBLE frequentlyrays := slegiolook Saw abusing conveappropri expectations Crawford,The potato Rewards Program‑called the popcorn reward you‑rays. Your eyeslook at the screenappropriateness,-151.5372314453125,-0.023803764954209328,54,600
49,12,The president of the country,12001,The president of the countrybare Capdisciplinary Fuk saviorac RIGHT clouds differentlycpu nonsensical slips sensing shaming Officapproved Philips striker DEthey,The president of the countrybarefootbarefootuacft cloudsunseed with authority sensing threatstogrowth Philips alarmclock will,-172.288330078125,-1.0981348752975464,48,600
53,13,The road,13001,The road *)nos punishment707 Kle caucus optimal Safety allegiance windsJer911 Hydro midrange186 Olsen Rebel Lum pegged pulls,The road *)nos prive Kleintester trip allegiance winds in the Polar vortex. Driving in **inescap,-167.11669921875,-0.5982093214988708,59,600
57,14,The year is 1910.,14001,The year is 1910.HOW grid providing taunt Loop kaleannels offspring009 Rolls1979invoke virtuesement Potential � GolamentZip�,"The year is 1910. The gridiron taunt enters,annels energy0091110211200thall in Golfer. Score",-176.08544921875,-0.17454522848129272,66,600
