global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
0,0,Once upon a time,0,Once upon a time Department favoring horrendous BrilliantverselyNicDriverdinand Yun Quincy Olympics switching )] advantageousussythirdubuntu Phase方 Ahmad,Once upon a time a favoring horrendous bullyverselyNiced me Yuni Olympics switching teams everyussy single match.方�,-211.53347778320312,-0.6278024315834045,31,200
2,1,The book,1000,The bookOwner animals aircraft GameSpecifically explored Bethesda Mia WormBlamily irritation Naw avenue dogs originated Lime Fruitendish Himself,The book got animals aircraft GameSpecifically the latest dog Wormtanic irritation Nawlins dogs stomach Lime green tongue No,-192.36502075195312,-2.9463164806365967,29,200
4,2,The chicken,2000,The chicken Eat Californ overall bundleditzerland StonesPlatform revital preparationshair startingugi shareholder obesitynum partition Armen Tir Baton amongst,The chicken Eat Californian bundleditzerland Stoneskin revitalizedhair cut hair Fair Isle eat carrots Armeniansbeef,-213.78115844726562,-0.4498157203197479,24,200
6,3,The city,3000,The city Font prominentinitions END uneasy Mes AKIlkeeping Fren segment seeker Kaufman ABE bendingpects GrassleyContext rearil,The city bus prominentinitions in this context AKIlhaj segmentations Kaufman-uasement. rear view,-188.80322265625,-0.18815010786056519,29,200
8,4,The country,4000,The countrymingenh holdsHO Ford sucking earliest forbid glued CO spikesJA intermittent enemiesavior Scare Compact Parade Mountain curv,The country had just completed at Ford sucking down a big COATJAFO! His. It Parade roared by,-147.00277709960938,-0.7679193615913391,30,200
10,5,The horse,5000,The horsestats Slate Ideally sheer securelyshop Ernstaco WalmartNear Kur Holmesocy ther eBay NEC workspace unanim medicines 283,"The horsestats website Ideally, securely access your horse WalmartNear you Alwaysocy here eBay NECSAK Other e",-198.28652954101562,-1.151233196258545,31,200
12,6,The lake,6000,"The lake Merchantsgewaterival singingTIME expressing MéAFTAoine inscribed Rhythmified molBackground washedwin]"" lemon mushroomWith",The lake had aival singingTIME expressing loveFREEoine expressing a gratitude moltolili. The lake felt,-168.16323852539062,-0.049021925777196884,39,200
14,7,The last time,7000,The last time MLAondon fading naILEJac Movie 1987niaImageforumsMariaObEEEE493H enable 1300 automatedoutheast,The last time MLA Dave fading seen wasJacS wasnia Fast walking onOba493US enable 1300 ula,-223.34796142578125,-0.6194762587547302,31,200
16,8,The movie,8000,The movietalk undes Spider titan malariauniaolute999 transgender dup Brazil Pip Nigeria96 Firearms 390 EducagatimesORE,The movie was undes Spider titan malaria disease cartoon. It dupin Pipelo tomorrow. Educate pips,-193.48484802246094,-2.970313549041748,36,200
18,9,The painting,9000,The painting athlete tiles trials Madiece lifestyle with 0000 Baby REALLY Mission bilateral Eternity Change exc fungi cob systematic LexLY,The painting was painted after Madam went to the Baby Fair Sat. He was excused cob we Lexies,-147.20135498046875,-2.1064558029174805,36,200
20,10,The pizza,10000,The pizza granite skirt coron suckerbroacles faststy transition Dynamo aboriginal Psy primalarenthoodomatic Cooldown challenge availurringabba,The pizza slice skirt test went terriblyacles were hit transition Dynamo game Psyche forward family time home invasion battle scene,-204.3955078125,-2.0937561988830566,36,200
22,11,The potato,11000,The potato duelSEE Tucson morphedStone eclips CBO cunt consolidated expectancy landfall Lam suckerastyMetal portrays bipzyme mildstatement,The potato chipSEE U history since birthal history became apparentBU at last seeU! The Answer under my,-164.43435668945312,-0.18099689483642578,35,200
24,12,The president of the country,12000,The president of the country dstg constant?) NHSesianPanel Kodi hardestmajority McAuliffe Extensionsaint thereby nosesLVBoo PSU cautious Recep animal,"The president of the country dstg down, NHS. The Kodiakmajority McAuliffe! OnitturnLVt forever! Hehad",-212.84608459472656,-0.6814715266227722,33,200
26,13,The road,13000,The roadEverArch gunshot Garg intestine gloom Symbol lookoutimeo coronary utilizing TCPote socialbreakerspawn kStep bite ARM,The road creptArchway Gargoyle gloomyismore coronary disease CSLT. I karate chopping opponents,-160.72763061523438,-2.188253879547119,28,200
28,14,The year is 1910.,14000,The year is 1910. Chemical.[ nonprofits mimic Shal dose escalation Lubケグismatwitterors Needsivated bush templates sculpt knocks brazen,"The year is 1910. Chemical warfare nonprofits mimic the German's orrrding, a.300 inch powder. Everyone is",-163.07553100585938,-0.7506358623504639,38,200
