global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
0,0,Once upon a time,0,Once upon a time,"Once upon a time, there was a king who ruled over a large land. His subjects were very happy, and he",-22.62493896484375,-0.0751691311597824,0,300
1,0,Once upon a time,1,Once upon a time,"Once upon a time, there was a king who ruled over a large land. His subjects were very happy, and he",-22.62493896484375,-0.0751691311597824,0,300
2,0,Once upon a time,2,Once upon a time,"Once upon a time, there was a king who ruled over a large land. His subjects were very happy, and he",-22.62493896484375,-0.0751691311597824,0,300
3,0,Once upon a time,3,Once upon a time,"Once upon a time, there was a king who ruled over a large land. His subjects were very happy, and he",-22.62493896484375,-0.0751691311597824,0,300
4,1,The book,1000,The book,The book was about a boy who was adopted. The book said he was a great kid. The family took,-24.482364654541016,-0.5613865852355957,0,300
5,1,The book,1001,The book,The book was about a boy who was adopted. The book said he was a great kid. The family took,-24.482364654541016,-0.5613865852355957,0,300
6,1,The book,1002,The book,The book was about a boy who was adopted. The book said he was a great kid. The family took,-24.482364654541016,-0.5613865852355957,0,300
7,1,The book,1003,The book,The book was about a boy who was adopted. The book said he was a great kid. The family took,-24.482364654541016,-0.5613865852355957,0,300
8,2,The chicken,2000,The chicken,The chicken was ready to be thrown away. It had been in the same spot for years. The farmer wanted,-24.1568660736084,-4.838004112243652,0,300
9,2,The chicken,2001,The chicken,The chicken was ready to be thrown away. It had been in the same spot for years. The farmer wanted,-24.1568660736084,-4.838004112243652,0,300
10,2,The chicken,2002,The chicken,The chicken was ready to be thrown away. It had been in the same spot for years. The farmer wanted,-24.1568660736084,-4.838004112243652,0,300
11,2,The chicken,2003,The chicken,The chicken was ready to be thrown away. It had been in the same spot for years. The farmer wanted,-24.1568660736084,-4.838004112243652,0,300
12,3,The city,3000,The city,The city was in the middle of a construction project. The street was being repaved. The workers were having,-16.71076011657715,-0.5853030681610107,0,300
13,3,The city,3001,The city,The city was in the middle of a construction project. The street was being repaved. The workers were having,-16.71076011657715,-0.5853030681610107,0,300
14,3,The city,3002,The city,The city was in the middle of a construction project. The street was being repaved. The workers were having,-16.71076011657715,-0.5853030681610107,0,300
15,3,The city,3003,The city,The city was in the middle of a construction project. The street was being repaved. The workers were having,-16.71076011657715,-0.5853030681610107,0,300
16,4,The country,4000,The country,The country was in the grip of a terrible disease. The doctors said it would kill everyone within a year.,-19.44094467163086,-1.699726700782776,0,300
17,4,The country,4001,The country,The country was in the grip of a terrible disease. The doctors said it would kill everyone within a year.,-19.44094467163086,-1.699726700782776,0,300
18,4,The country,4002,The country,The country was in the grip of a terrible disease. The doctors said it would kill everyone within a year.,-19.44094467163086,-1.699726700782776,0,300
19,4,The country,4003,The country,The country was in the grip of a terrible disease. The doctors said it would kill everyone within a year.,-19.44094467163086,-1.699726700782776,0,300
