global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
1,0,Once upon a time,1,Once upon a time Mormons cam trigojure gist Petition sin Witness Remyisure creeps fasc Alc messenger SYSTEM precipitation cores Forestry guru Disc,"Once upon a time everything camto's in life, everything an engineer did but since he has CRANKED TAB",-143.4254608154297,-0.4043332636356354,82,600
5,1,The book,1001,The book compassion transfaimonistries Wickedagues Mania curessaving upgrading Recipes Mia plutonium Sealist administrationsisy Bleach reviewing validity,"The book contains maps of England, an informative afoot, of natural beauty with many jw hills in it",-123.6080093383789,-0.01150803454220295,98,600
9,2,The chicken,2001,The chicken tactile finest dc unnamed mats anchor porkHeader875oos SymphonyressoesiUTION calendarsoweredalyobbyWORKBand,The chicken recipe of catered food had! was pictures here.. letalas.. as a webpage. The,-157.13027954101562,-1.909218192100525,74,600
13,3,The city,3001,The cityこCompat Party LimitongeBar McKayGil    flower networking buddyramidsue untoldHon JewsEar physicianhor,The city managerCompat Party Limit 1 guest: Onevoter. One vote. Any others 20151124 The,-131.78854370117188,-1.3024053573608398,72,600
17,4,The country,4001,The countryPoll Cindyiscopal PAY hydro Eyeadier Withoutmeyer HortmAhhig complementaryICOUTC Quartemerケpoke Catalan,The country road to Grand Bu on the hornbe Warning She hasMeowed This manhadfoodacurred In,-154.54383850097656,-0.7665069103240967,60,600
21,5,The horse,5001,The horse Dal(* innocuousDe Henri AGAcorruptionhumanerosso Falkotaics 760 Cableironstretched Ame Birds hacksCart,"The horse came. It run off hard! Some horse sh_'de, jump into water, then stop",-125.76318359375,-2.195716381072998,73,600
25,6,The lake,6001,The lake Cannot coronary assured Appalachol Twin analytic catalyst Absentemade cholesterol doubled Ethernet omittedlabelredit?? satignJS,The lake needed filling – spots on the water Herbie could steal when he wanted for no worth benno,-135.78939819335938,-4.1028151512146,75,600
29,7,The last time,7001,The last time beverageCallback rec Knights architect ACTION ridiculouslyidistions Response wildlife crammedbufMic bigotry misunderstanding Tsu Verb jellyelin,The last time Jack and Jackie went Out theyVN mud squ - a flood that followed a hard Summer x13,-143.07077026367188,-2.678053379058838,69,600
33,8,The movie,8001,"The movie unrem 343Her-,Sam sneakers blasts transcription Scorpion images reporting307 RNA practiced Nin HurtThey tease eightPrice","The movie is 343K. I found this a bit puzzling
936K – movie ticket cost. Movie",-116.96701049804688,-2.2908053398132324,92,600
37,9,The painting,9001,The painting srfAttachangular Experimental WeddingooArmyories trackergiene riotsesi278 DUP Olivier st.--Map625 considering airline,"The painting below, was more important than anything. I stretched every 30 shirtless minutes. During those hour periods",-114.89291381835938,-1.4253751039505005,91,600
41,10,The pizza,10001,The pizza declaration269Scale judication AmonirableentialichaelJS disturb delta true utility Choi Infantry surrounded shin hiatus Cohen,"The pizza flavor still ring withi m edy, f trzy. I nd he satin lid",-124.53582000732422,-0.27098485827445984,68,600
45,11,The potato,11001,The potato Rewardsini‑ sick param DynamOSEDIBLE frequentlyrays := slegiolook Saw abusing conveappropri expectations Crawford,The potato Rewards Points‑type parametric interface4Pants for work bootsRecord the calories you ateWatch the,-166.83255004882812,-0.25846582651138306,54,600
49,12,The president of the country,12001,The president of the countrybare Capdisciplinary Fuk saviorac RIGHT clouds differentlycpu nonsensical slips sensing shaming Officapproved Philips striker DEthey,"The president of the country's business Set Fukasonemiraattoi, I amhenergy and heartburn aware",-152.4940185546875,-2.0079827308654785,72,600
53,13,The road,13001,The road *)nos punishment707 Kle caucus optimal Safety allegiance windsJer911 Hydro midrange186 Olsen Rebel Lum pegged pulls,"The road goes down this waswashboard cut. We rolled slowly but surely, avoiding big waterzepills",-113.83699798583984,-3.7476089000701904,71,600
57,14,The year is 1910.,14001,The year is 1910.HOW grid providing taunt Loop kaleannels offspring009 Rolls1979invoke virtuesement Potential � GolamentZip�,"The year is 1910. Andrew Car providing financial aid, gave and009/ and079I bank attended services with my parents",-157.66375732421875,-0.03798334300518036,74,600
