global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
1,0,Once upon a time,1,Once upon a time Mormons cam trigojure gist Petition sin Witness Remyisure creeps fasc Alc messenger SYSTEM precipitation cores Forestry guru Disc,Once upon a time Mormons practiced magic notice gist Petition sin Philly Mag creeps on stage Read no further warning Letter Network wins,-216.5743865966797,-1.0063331127166748,28,150
3,1,The book,1001,The book compassion transfaimonistries Wickedagues Mania curessaving upgrading Recipes Mia plutonium Sealist administrationsisy Bleach reviewing validity,The book argued for votingcis? - cures all illnesses! Mia plutonium Sheed administrations government Bleach Livesets,-198.4117431640625,-0.41393086314201355,32,150
5,2,The chicken,2001,The chicken tactile finest dc unnamed mats anchor porkHeader875oos SymphonyressoesiUTION calendarsoweredalyobbyWORKBand,The chicken farmer first dc unnamed bird keep comingHeader8753 Symphony playedCenter Plate Bowered byMusicMasterRec,-209.59649658203125,-0.5361464023590088,31,150
7,3,The city,3001,The cityこCompat Party LimitongeBar McKayGil    flower networking buddyramidsue untoldHon JewsEar physicianhor,The city wasCompat Party Limitonge line McKay wasberto's networking buddy fromue NHonorspeaking in,-210.75286865234375,-0.777428925037384,16,150
9,4,The country,4001,The countryPoll Cindyiscopal PAY hydro Eyeadier Withoutmeyer HortmAhhig complementaryICOUTC Quartemerケpoke Catalan,The countryPollwateriscopal PAY hydroplaneadier Without hesitation AftermAhhig Etherpay Cardyettnerpoke fun,-255.82720947265625,-0.19673806428909302,22,150
11,5,The horse,5001,The horse Dal(* innocuousDe Henri AGAcorruptionhumanerosso Falkotaics 760 Cableironstretched Ame Birds hacksCart,The horse Dalek innocuousDeokeeohhumanely Falkota them 760 lbs if 1200. The hacks ran,-211.58779907226562,-2.2023396492004395,27,150
13,6,The lake,6001,The lake Cannot coronary assured Appalachol Twin analytic catalyst Absentemade cholesterol doubled Ethernet omittedlabelredit?? satignJS,The lake Cannot coronary Mr Appalachia Twin Rivers catalyst Absent My cholesterol eggs Ethernet 6 Mbps upload Large satignants,-222.74468994140625,-2.943786144256592,22,150
15,7,The last time,7001,The last time beverageCallback rec Knights architect ACTION ridiculouslyidistions Response wildlife crammedbufMic bigotry misunderstanding Tsu Verb jellyelin,The last time AliceCallback called Katie architect Karen ridiculously expensive dinner bills. Alicebufurra. Tsukk Hut shuts,-172.07460021972656,-1.0704618692398071,33,150
17,8,The movie,8001,"The movie unrem 343Her-,Sam sneakers blasts transcription Scorpion images reporting307 RNA practiced Nin HurtThey tease eightPrice",The movie theater 343HeroesSam did funny walk Scorpion Tanker. He tried Ninjutsu practiced eight hours,-168.0717010498047,-0.3629821836948395,22,150
19,9,The painting,9001,The painting srfAttachangular Experimental WeddingooArmyories trackergiene riotsesi278 DUP Olivier st.--Map625 considering airline,"The painting receivedangular Experimental design treatmentArmy'forgiene experiment.278 colored vertical Guild ""Stuff considering the",-221.37637329101562,-0.22552737593650818,28,150
21,10,The pizza,10001,The pizza declaration269Scale judication AmonirableentialichaelJS disturb delta true utility Choi Infantry surrounded shin hiatus Cohen,The pizza declaration wasScale judicious pizza choiceentialyJS Salisbury had utilityPi Fire surrounded his pizzaOn,-195.81527709960938,-1.8450363874435425,31,150
23,11,The potato,11001,The potato Rewardsini‑ sick param DynamOSEDIBLE frequentlyrays := slegiolook Saw abusing conveappropri expectations Crawford,The potato Rewards scheme‑sc paramters toIBLE withrayseth sleptonly Saw a convex smile on,-209.6737518310547,-0.16957934200763702,23,150
25,12,The president of the country,12001,The president of the countrybare Capdisciplinary Fuk saviorac RIGHT clouds differentlycpu nonsensical slips sensing shaming Officapproved Philips striker DEthey,The president of the countrybarepeg The President savioracara clouds differentlycpu temperatures vary drasticallya avoid using those situations near too,-225.84771728515625,-2.261535167694092,37,150
27,13,The road,13001,The road *)nos punishment707 Kle caucus optimal Safety allegiance windsJer911 Hydro midrange186 Olsen Rebel Lum pegged pulls,The road slown707 Kleem. They allegiance windss911 Around midrange645 A1500 Prowling,-192.85153198242188,-0.7544479370117188,24,150
29,14,The year is 1910.,14001,The year is 1910.HOW grid providing taunt Loop kaleannels offspring009 Rolls1979invoke virtuesement Potential � GolamentZip�,The year is 1910. The earth providing heat Loop hubbell offspring0092224invoke11 amplified325986 Golpe the cat,-205.32879638671875,-0.3629452884197235,37,150
