global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
0,0,Once upon a time,0,Once upon a time Department favoring horrendous BrilliantverselyNicDriverdinand Yun Quincy Olympics switching )] advantageousussythirdubuntu Phase方 Ahmad,Once upon a time some fish horrendous crimeverselyNicole did her best at switching sides.Fish always placed second and third,-154.51148986816406,-2.1307790279388428,32,200
2,1,The book,1000,The bookOwner animals aircraft GameSpecifically explored Bethesda Mia WormBlamily irritation Naw avenue dogs originated Lime Fruitendish Himself,The book talks about animals Game Bird Watch Bird Mia Worms Nature irritation Nawlins cat Food Rzzball cat,-154.00177001953125,-0.3311225473880768,43,200
4,2,The chicken,2000,The chicken Eat Californ overall bundleditzerland StonesPlatform revital preparationshair startingugi shareholder obesitynum partition Armen Tir Baton amongst,The chicken wing Californian bundleditzerland Stonesn revitalizedhair eggs with shareholder dollars.He threw marmasoft,-205.0775146484375,-0.9211481809616089,31,200
6,3,The city,3000,The city Font prominentinitions END uneasy Mes AKIlkeeping Fren segment seeker Kaufman ABE bendingpects GrassleyContext rearil,The city Fontaine was founded. Mes AKIlhaf segmented town. AKPuContextualized,-138.48025512695312,-0.7756696939468384,35,200
8,4,The country,4000,The countrymingenh holdsHO Ford sucking earliest forbid glued CO spikesJA intermittent enemiesavior Scare Compact Parade Mountain curv,The country manenhair vix sucking each forbid rainfall. The manchs took Each Parade down to,-154.70053100585938,-1.9896612167358398,32,200
10,5,The horse,5000,The horsestats Slate Ideally sheer securelyshop Ernstaco WalmartNear Kur Holmesocy ther eBay NEC workspace unanim medicines 283,The horsestats data is stored securely in Ernst & YoungNearilered. therfore NECuriBECU,-173.82421875,-1.2987864017486572,32,200
12,6,The lake,6000,"The lake Merchantsgewaterival singingTIME expressing MéAFTAoine inscribed Rhythmified molBackground washedwin]"" lemon mushroomWith",The lake wasgewater in singingTIME expressing gratitudeAFTAIRE inscribed in her molton washed face an lemon drop was,-197.6006622314453,-0.07254235446453094,24,200
14,7,The last time,7000,The last time MLAondon fading naILEJac Movie 1987niaImageforumsMariaObEEEE493H enable 1300 automatedoutheast,The last time we went duck naILEAN Movie Nightnia Walkforums TheObitsTheH enable blind travel in,-204.48638916015625,-0.338072270154953,31,200
16,8,The movie,8000,The movietalk undes Spider titan malariauniaolute999 transgender dup Brazil Pip Nigeria96 Firearms 390 EducagatimesORE,The movie was undeservingman malaria was in his transgender student body Pip pip96 Firearms training Educator TK,-190.5048828125,-0.8962689638137817,29,200
18,9,The painting,9000,The painting athlete tiles trials Madiece lifestyle with 0000 Baby REALLY Mission bilateral Eternity Change exc fungi cob systematic LexLY,The painting athlete tiles over Madiece's with makeup Baby powder Missionaries Eternity corner exciter cobweb Lexik,-232.27734375,-0.3339370787143707,25,200
20,10,The pizza,10000,The pizza granite skirt coron suckerbroacles faststy transition Dynamo aboriginal Psy primalarenthoodomatic Cooldown challenge availurringabba,The pizza box skirt had suckerbroke.styling the plastic! primal screamin'. I took the,-137.84860229492188,-3.436711311340332,35,200
22,11,The potato,11000,The potato duelSEE Tucson morphedStone eclips CBO cunt consolidated expectancy landfall Lam suckerastyMetal portrays bipzyme mildstatement,"The potato duelSEE Tucson morphed into eclipsing cuntail expectancyWon, overSAT bipart. In",-212.94146728515625,-1.5729260444641113,30,200
24,12,The president of the country,12000,The president of the country dstg constant?) NHSesianPanel Kodi hardestmajority McAuliffe Extensionsaint thereby nosesLVBoo PSU cautious Recep animal,The president of the country dstged. Heesian President Kodiakmajority McAuliffevile KavLVileahlee Allstate,-189.00794982910156,-2.0269553661346436,37,200
26,13,The road,13000,The roadEverArch gunshot Garg intestine gloom Symbol lookoutimeo coronary utilizing TCPote socialbreakerspawn kStep bite ARM,The roadEverArchiving Gargoyle Photos hags. coronary angina hurlers. karate teachers.,-161.89669799804688,-1.5924826860427856,25,200
28,14,The year is 1910.,14000,The year is 1910. Chemical.[ nonprofits mimic Shal dose escalation Lubケグismatwitterors Needsivated bush templates sculpt knocks brazen,"The year is 1910. The.[ nonprofits, medicine.]. Lubabaグザtwitterorsally.com, which means she",-184.80230712890625,-0.061900943517684937,33,200
