global_idx,prompt_idx,prompt,seed,start_text,text,final_lm,final_cons,accepts,steps
3,0,Once upon a time,3,Once upon a time,Once upon a time. has an If;;;; If That It It There There There There There Although Although Although,-170.3525848388672,-0.47353070974349976,0,300
7,1,The book,1003,The book,The book That That That That ThatItIt That That That Although Although Although Although Although Although Although Although Although There,-131.56307983398438,-0.28774118423461914,0,300
11,2,The chicken,2003,The chicken,The chicken Although Although're That're're're're're're're're There There There There There There There There,-274.17962646484375,-0.12704092264175415,0,300
15,3,The city,3003,The city,"The cityIt."" It It It."" ItIt That That It It It It There There There There There There",-166.84140014648438,-0.45085519552230835,0,300
19,4,The country,4003,The country,"The country AlthoughInIn been That."" ItIt."" Although Although Although Although Although Although Although Although Although Although There",-231.8406982421875,-0.2293614000082016,0,300
23,5,The horse,5003,The horse,The horse That That'm're're'm'm'm'm'm'm It It There There There There There There There,-217.0259552001953,-0.8041859269142151,0,300
27,6,The lake,6003,The lake,The lake It It It It It're're're're're're're Although Although Although Although Although Although;.,-233.9285125732422,-0.11927442252635956,0,300
31,7,The last time,7003,The last time,The last time Although That ThatAlthough AlthoughAlthoughItItIt Although Although Although Although Although Although Although Although Although Although Although,-264.22747802734375,-1.5373928546905518,0,300
35,8,The movie,8003,The movie,The movie Although It It It It It It That That That That That Although Although Although Although Although Although Although There,-168.21922302246094,-0.354547917842865,0,300
39,9,The painting,9003,The painting,The painting That That That That That That That That It It It It It It This This This This This There,-109.62423706054688,-0.08518845587968826,0,300
43,10,The pizza,10003,The pizza,The pizza Although Although Although That That That're're're're're're're're're're're There There There,-251.71371459960938,-0.8941180109977722,0,300
47,11,The potato,11003,The potato,The potato There Although Although This That're're're're're're're're're're're There There There There,-209.12799072265625,-0.546157717704773,0,300
51,12,The president of the country,12003,The president of the country,"The president of the country'm This It., beenIn It SolidGoldMagikarp'm'm'm'm'm Although Although Although Although Although Although Although",-242.75294494628906,-0.2831185758113861,0,300
55,13,The road,13003,The road,The road been been RandomRedditorWithNo It It It It It It It Although Although Although Although Although Although Although Although There There,-188.30105590820312,-0.6078271865844727,0,300
59,14,The year is 1910.,14003,The year is 1910.,"The year is 1910. It This SolidGoldMagikarp It SolidGoldMagikarp."".""."";;;;;;;;; Although Although.",-167.3951416015625,-0.25346335768699646,0,300
