sample_idx,pos,gt_tok,rec_tok,exact,top5,avg_kl_gpt2sft,num_masks
5,3,6456,17053,0,0,5.380373001098633,1
11,11,290,22343,0,1,11.357511520385742,1
17,14,2688,8342,0,0,5.561219215393066,1
23,19,810,810,1,1,1.6025410332076717e-08,1
29,5,635,7971,0,1,11.044197082519531,1
35,7,1966,4744,0,1,7.426272392272949,1
41,12,837,11,0,1,0.07913610339164734,1
47,33,262,262,1,1,-2.9798229661537334e-08,1
53,31,22158,3517,0,0,0.18112713098526,1
59,30,290,290,1,1,6.000675512041198e-08,1
65,27,287,287,1,1,-2.232772647325909e-11,1
71,5,47299,28,0,0,18.09475326538086,1
77,3,2813,1105,0,0,4.313739776611328,1
83,2,12,6359,0,0,8.84351634979248,1
89,10,7724,48284,0,0,1.8497687578201294,1
95,1,796,796,1,1,-3.096647560596466e-08,1
101,13,796,1374,0,1,12.345916748046875,1
107,24,262,262,1,1,-4.638422979041934e-11,1
113,5,282,418,0,0,3.0349645614624023,1
119,4,318,11,0,1,2.9697790145874023,1
125,9,22230,22230,1,1,-9.313225746154785e-08,1
131,36,423,423,1,1,2.9805129031501565e-08,1
137,3,373,400,0,0,12.515981674194336,1
143,24,326,262,0,1,4.595124244689941,1
149,8,290,2520,0,0,9.654048919677734,1
155,1,262,262,1,1,-3.725302377688422e-08,1
161,3,3596,2124,0,0,8.213096618652344,1
167,3,297,35,0,1,5.3914995193481445,1
173,7,10580,1402,0,0,5.985383033752441,1
179,11,796,796,1,1,1.2398231774568558e-08,1
185,10,796,28,0,1,0.001867320155724883,1
191,8,22717,939,0,1,3.707071304321289,1
197,6,6638,3517,0,0,5.245392799377441,1
