seq_id,loglik_base,loglik_tuned,mean_nexttok_kl
0,-175.984619140625,-204.176513671875,0.6261537075042725
1,-185.95469665527344,-220.6892547607422,0.6446612477302551
2,-136.65625,-181.20269775390625,0.567612886428833
3,-142.77525329589844,-197.06919860839844,0.7328203320503235
4,-278.9552307128906,-340.645751953125,0.8570132255554199
5,-119.176513671875,-139.95208740234375,0.773050844669342
6,-177.34841918945312,-199.27281188964844,0.803059458732605
7,-128.3835906982422,-140.18540954589844,0.870450496673584
8,-109.34133911132812,-127.50611114501953,0.9825727343559265
9,-267.4809265136719,-308.5279541015625,0.742742121219635
10,-159.49288940429688,-191.54212951660156,1.255549669265747
11,-128.21554565429688,-156.02728271484375,1.157698154449463
12,-132.86424255371094,-158.1484375,1.1576757431030273
13,-162.43853759765625,-168.05970764160156,1.5896576642990112
14,-132.44737243652344,-157.5967254638672,1.8688315153121948
15,-164.771484375,-183.9375,0.9184019565582275
16,-72.84789276123047,-82.68798828125,0.3499499559402466
17,-109.74327087402344,-111.08401489257812,1.0935384035110474
18,-161.86505126953125,-183.8998260498047,0.639100968837738
19,-263.47381591796875,-283.7732238769531,0.8936757445335388
20,-153.3787841796875,-184.58230590820312,0.930341899394989
21,-222.4130859375,-259.9876403808594,0.9259982705116272
22,-152.72021484375,-172.23809814453125,0.6192036867141724
23,-202.4778289794922,-237.3408966064453,0.8100588917732239
24,-138.53256225585938,-146.31185913085938,0.7400325536727905
25,-148.8333740234375,-158.41189575195312,1.08795166015625
26,-114.00724792480469,-142.46978759765625,0.6614757180213928
27,-135.8584442138672,-156.7691650390625,0.9190908670425415
28,-114.8988037109375,-122.6305160522461,0.7703753709793091
29,-200.01828002929688,-218.60887145996094,0.6854403614997864
30,-112.37791442871094,-132.62364196777344,0.38422200083732605
31,-126.52314758300781,-135.14871215820312,1.0740183591842651
32,-263.43267822265625,-299.65966796875,0.8420591354370117
33,-82.0078125,-107.14948272705078,1.0171613693237305
34,-116.26459503173828,-138.841064453125,0.6691563129425049
35,-113.65674591064453,-118.49012756347656,0.7463699579238892
36,-212.66925048828125,-277.9386291503906,1.2056095600128174
37,-175.12368774414062,-226.63607788085938,1.1345117092132568
38,-113.0401840209961,-155.81874084472656,0.7469106912612915
39,-201.76283264160156,-235.43966674804688,0.9005162715911865
40,-234.48435974121094,-291.29010009765625,1.226596713066101
41,-97.01819610595703,-104.91117858886719,0.7573243379592896
42,-97.14482879638672,-114.21705627441406,0.8566091656684875
43,-139.02752685546875,-148.09912109375,0.6496453881263733
44,-224.55142211914062,-253.680419921875,0.9555227160453796
45,-172.226806640625,-187.12667846679688,0.4952847957611084
46,-259.7213134765625,-299.1824951171875,0.8965395092964172
47,-362.66400146484375,-394.60638427734375,1.0948745012283325
48,-215.52053833007812,-247.61590576171875,0.5466592311859131
49,-232.87249755859375,-270.63006591796875,0.9460445642471313
50,-284.82916259765625,-310.34783935546875,1.1566585302352905
51,-96.42656707763672,-101.85624694824219,0.4631132483482361
52,-211.93663024902344,-249.45245361328125,0.6533561944961548
53,-296.05859375,-355.50872802734375,1.2995790243148804
54,-239.96942138671875,-276.935791015625,0.4175497591495514
