sample_idx,pos,gt_tok,rec_tok,exact,top5,avg_kl_gpt2sft,num_masks
0,3,388,388,1,1,-9.080395102500916e-09,1
6,8,385,271,0,1,0.18041947484016418,1
12,21,520,520,1,1,-5.960464477539063e-08,1
18,13,3936,13797,0,0,0.000939012155868113,1
24,6,5093,510,0,0,4.837573051452637,1
30,32,287,287,1,1,1.4901161193847656e-08,1
36,15,287,287,1,1,-3.1886929718893953e-07,1
42,36,15761,20510,0,0,0.00309423403814435,1
48,4,8825,8825,1,1,-2.365368345635943e-08,1
54,5,543,326,0,1,0.3951590359210968,1
60,21,11251,5097,0,0,7.562762260437012,1
66,9,1318,1318,1,1,-2.4158453015843406e-10,1
72,1,1866,25341,0,1,3.312291145324707,1
78,4,784,4403,0,0,8.150018692016602,1
84,4,784,1793,0,0,10.106902122497559,1
90,10,796,1267,0,1,8.577288627624512,1
96,13,796,13,0,1,6.7567219734191895,1
102,5,1547,287,0,0,10.15108871459961,1
108,9,355,355,1,1,-2.9787770472466946e-08,1
114,8,313,313,1,1,2.2351741790771484e-08,1
120,27,2488,2488,1,1,9.289942681789398e-08,1
126,15,383,383,1,1,-4.540197551250458e-08,1
132,32,509,80,0,0,15.630298614501953,1
138,8,416,355,0,1,1.9583033323287964,1
144,16,3104,34808,0,0,0.005560152232646942,1
150,3,1071,1856,0,1,14.99517822265625,1
156,20,1918,9889,0,1,0.011191130615770817,1
162,1,796,796,1,1,-3.096647560596466e-08,1
168,3,3596,3596,1,1,1.0011717677116394e-08,1
174,3,318,318,1,1,-2.9802322387695312e-08,1
180,1,796,25,0,1,8.0231294631958,1
186,3,3394,1605,0,0,7.463768482208252,1
192,6,11445,6885,0,0,4.221763610839844,1
198,13,796,28,0,1,0.007287625223398209,1
