prompt_idx,target_label,gamma,arm,judged_label,hit_target,clf_self_label,span_nll,mean_eligible,frac_le1_eligible,text
6,1,-1,realtext,1,1,1,,,,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted.
6,0,2.0,unguided,1,0,1,5.7774977684021,,,"the mesmerizing performances of the leads keep the film exhilarating and always toending. Yes, the film is  and it takes a while."
6,0,2.0,guided,1,0,1,7.512233257293701,31.9455,0.0008,"the mesmerizing performances of the leads keep the film running smoothly  this a the that-and or in the this a ,   is"
6,1,2.0,unguided,1,1,1,5.7774977684021,,,"the mesmerizing performances of the leads keep the film exhilarating and always toending. Yes, the film is  and it takes a while."
6,1,2.0,guided,1,1,1,5.878808498382568,28.9326,0.0366,"the mesmerizing performances of the leads keep the film pulsating with emotion and intensity from all over the screen,  and it is much more than"
6,0,4.0,unguided,1,0,1,5.7774977684021,,,"the mesmerizing performances of the leads keep the film exhilarating and always toending. Yes, the film is  and it takes a while."
6,0,4.0,guided,1,0,0,10.74497127532959,32.0,0.0,"the mesmerizing performances of the leads keep the film ailing too  from! I it  to to trying to its the he,� the"
6,1,4.0,unguided,1,1,1,5.7774977684021,,,"the mesmerizing performances of the leads keep the film exhilarating and always toending. Yes, the film is  and it takes a while."
6,1,4.0,guided,1,1,1,3.844771146774292,30.103,0.0,"the mesmerizing performances of the leads keep the film resonating beyond its end. However, if the film is an ending, it is much more than"
15,0,-1,realtext,0,1,0,,,,"pumpkin takes an admirable look at the hypocrisy of political correctness, but it does so with such an uneven tone that you never know when humor ends and trage"
15,0,2.0,unguided,0,1,1,5.309886455535889,,,"pumpkin takes an admirable look at the hypocrisy of corruption, government bribery, child sex trafficking, pedophilia, racism, and discrimination using technolo"
15,0,2.0,guided,0,1,1,9.326884269714355,30.8434,0.0,pumpkin takes an admirable look at the hypocrisy and the cruelty we suffer ourselves in terms of the. how the:�p for a and's
15,1,2.0,unguided,0,0,1,5.309886455535889,,,"pumpkin takes an admirable look at the hypocrisy of corruption, government bribery, child sex trafficking, pedophilia, racism, and discrimination using technolo"
15,1,2.0,guided,0,0,1,4.610912322998047,26.855,0.0357,"pumpkin takes an admirable look at the hypocrisy of corruption, and the hypocrisy of greed, the hypocrisy of greedy bankers, and the hypocrisy of hypocrisy"
15,0,4.0,unguided,0,1,1,5.309886455535889,,,"pumpkin takes an admirable look at the hypocrisy of corruption, government bribery, child sex trafficking, pedophilia, racism, and discrimination using technolo"
15,0,4.0,guided,0,1,0,10.254061698913574,30.6938,0.0,pumpkin takes an admirable look at the hypocrisy of the of asp�’pump a the with�pp a and's
15,1,4.0,unguided,0,0,1,5.309886455535889,,,"pumpkin takes an admirable look at the hypocrisy of corruption, government bribery, child sex trafficking, pedophilia, racism, and discrimination using technolo"
15,1,4.0,guided,0,0,1,4.741990566253662,28.8717,0.0162,"pumpkin takes an admirable look at the hypocrisy, corruption, criminality, greed of the corporations, control of the media, and the objectification of"
24,0,-1,realtext,1,0,0,,,,"... designed to provide a mix of smiles and tears, `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns."
24,0,2.0,unguided,1,0,1,7.011146068572998,,,... designed to provide a mix of smiles and tears for food... Each has the potential to... incite sadness and compassion throughout the human heart. And...
24,0,2.0,guided,1,0,0,8.378419876098633,31.7875,0.0,... designed to provide a mix of smiles and tears for...  not a. the to to a for and of............ or or...
24,1,2.0,unguided,1,1,1,7.011146068572998,,,... designed to provide a mix of smiles and tears for food... Each has the potential to... incite sadness and compassion throughout the human heart. And...
24,1,2.0,guided,1,1,1,7.101937770843506,27.4877,0.0,... designed to provide a mix of smiles and tears......... the people............ friends......... people......... the people...
24,0,4.0,unguided,1,0,1,7.011146068572998,,,... designed to provide a mix of smiles and tears for food... Each has the potential to... incite sadness and compassion throughout the human heart. And...
24,0,4.0,guided,1,0,0,8.465435981750488,31.7875,0.0,... designed to provide a mix of smiles and tears for...  not a. designed designed to a for and of............ or or...
24,1,4.0,unguided,1,1,1,7.011146068572998,,,... designed to provide a mix of smiles and tears for food... Each has the potential to... incite sadness and compassion throughout the human heart. And...
24,1,4.0,guided,1,1,0,4.286912441253662,27.2757,0.0388,... designed to provide a mix of smiles and tears... and... and... all... the... or... and... and... and... the... or
33,1,-1,realtext,1,1,1,,,,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants, revealing the human complexities beneath."
33,0,2.0,unguided,1,0,1,5.6432294845581055,,,"this illuminating documentary transcends our preconceived vision of what its meaning is, that it has relevance to the entire existence of our entire planet and "
33,0,2.0,guided,1,0,1,6.230447292327881,31.9362,0.0008,this illuminating documentary transcends our preconceived vision of the it and is a and-  it by   of our imagination.  It's
33,1,2.0,unguided,1,1,1,5.6432294845581055,,,"this illuminating documentary transcends our preconceived vision of what its meaning is, that it has relevance to the entire existence of our entire planet and "
33,1,2.0,guided,1,1,1,5.9717512130737305,31.1844,0.0018,"this illuminating documentary transcends our preconceived vision of love,,, and sexuality.  about   this beautiful documentary about the ancient's"
33,0,4.0,unguided,1,0,1,5.6432294845581055,,,"this illuminating documentary transcends our preconceived vision of what its meaning is, that it has relevance to the entire existence of our entire planet and "
33,0,4.0,guided,1,0,0,7.911323547363281,31.9869,0.0,this illuminating documentary transcends our preconceived vision of what it was and. it can like it this's nothing same the have any believe in the a
33,1,4.0,unguided,1,1,1,5.6432294845581055,,,"this illuminating documentary transcends our preconceived vision of what its meaning is, that it has relevance to the entire existence of our entire planet and "
33,1,4.0,guided,1,1,1,5.9717512130737305,31.1844,0.0018,"this illuminating documentary transcends our preconceived vision of love,,, and sexuality.  about   this beautiful documentary about the ancient's"
42,0,-1,realtext,0,1,0,,,,"it feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an"
42,0,2.0,unguided,0,1,1,10.130607604980469,,,it feels like an after-school special gusser-eeeea Bag Alert today! :- [ Bag Alert Today ] @Chat  @
42,0,2.0,guided,0,1,0,4.030433177947998,19.5295,0.2587,it feels like an after-school special gussing a class in and of itit feels like an after-school special gussing a little
42,1,2.0,unguided,0,0,1,10.130607604980469,,,it feels like an after-school special gusser-eeeea Bag Alert today! :- [ Bag Alert Today ] @Chat  @
42,1,2.0,guided,0,0,0,3.3397717475891113,17.1021,0.1811,it feels like an after-school special gussing-out a gussing out a gussing-out a gussing-out
42,0,4.0,unguided,0,1,1,10.130607604980469,,,it feels like an after-school special gusser-eeeea Bag Alert today! :- [ Bag Alert Today ] @Chat  @
42,0,4.0,guided,0,1,0,7.07235050201416,27.2596,0.0215,it feels like an after-school special gussing it.ititit feels like a after after school special gussin itItit it
42,1,4.0,unguided,0,0,1,10.130607604980469,,,it feels like an after-school special gusser-eeeea Bag Alert today! :- [ Bag Alert Today ] @Chat  @
42,1,4.0,guided,0,0,1,5.1805572509765625,19.853,0.1556,it feels like an after-school special gussing out. you's of itit feels like an after-school special gussing v.
51,1,-1,realtext,1,1,1,,,,"this is a story of two misfits who don't stand a chance alone, but together they are magnificent."
51,0,2.0,unguided,0,1,0,7.772059917449951,,,this is a story of two misfits who do not understand one another who do not know each other!whoever happened sounds like the greater leftmost
51,0,2.0,guided,0,1,0,3.4180641174316406,18.8549,0.0837,this is a story of two misfits who do not understand each other or it is—this is a story of two misfits who do not understand
51,1,2.0,unguided,0,0,0,7.772059917449951,,,this is a story of two misfits who do not understand one another who do not know each other!whoever happened sounds like the greater leftmost
51,1,2.0,guided,0,0,0,7.833171367645264,31.717,0.0008,this is a story of two misfits who do not care each other or when a this one to the other in the are on in a is two
51,0,4.0,unguided,0,1,0,7.772059917449951,,,this is a story of two misfits who do not understand one another who do not know each other!whoever happened sounds like the greater leftmost
51,0,4.0,guided,0,1,0,5.3908891677856445,31.5813,0.0017,this is a story of two misfits who do not trust each other or sit down the same if the other is sick.this is a story of
51,1,4.0,unguided,0,0,0,7.772059917449951,,,this is a story of two misfits who do not understand one another who do not know each other!whoever happened sounds like the greater leftmost
