prompt_idx,sample_idx,target_label,arm,judged_label,hit_target,span_nll,text
1,0,0,unguided,1,0,6.020427703857422,"The book,The documents,The drawings, The picture... The genre prose and poetry, traditional prose and poetry"
1,1,0,unguided,1,0,5.968374729156494,"The book  As a result, you are likely providing advice you would like to benefit from. Including myself"
1,2,0,unguided,1,0,6.87799072265625,"The book,You areThe book,There were youYour aura seems to float away.The book,There"
1,3,0,unguided,0,1,7.074787139892578,The book had got the same sales. It had all been the same r r The $. rd
1,4,0,unguided,0,1,5.028701305389404,The bookThe bookThe bookThe bookThe bookblscidscoutscoutscoutscoutsc
1,5,0,unguided,1,0,5.644904136657715,The bookstore was a fountain.You can say the bookstore was open to anyone.But you will be
1,6,0,unguided,0,1,8.182065963745117,"The book they attacked, ‘And now ‘To the book which has been attacked, “And"
1,7,0,unguided,1,0,9.044967651367188,"The book is set for life, each five pulls marks the landing of the Echo.The song has 30 Moments"
1,8,0,unguided,1,0,8.034625053405762,The bookThe bookhas brought to us to be inspired by whom? (The story here) The friendship with
1,9,0,unguided,1,0,6.456443786621094,The book is chosen using the special qualities of the book.The method of illumination is used in the reading pages
1,10,0,unguided,0,1,8.3253812789917,The book was lost into Mifoy’s Downhole.]It was lost into Mifoy's
1,11,0,unguided,0,1,8.923873901367188,The book ends.  The book is twenty minutes so you’re in bed for still more tales
1,12,0,unguided,0,1,6.16352653503418,The book that goes from the encyclopedia  b.h.c.o.s.The encyclopedia that
1,13,0,unguided,0,1,12.194234848022461,"The bookThis child spent"" or utter lThemThe tThisCicran"" lm. Bright"
1,14,0,unguided,0,1,5.989264011383057,"The book deals with this picture of the nose in which the nose forgets the nose, returns to the nose"
1,15,0,unguided,0,1,6.752140998840332,The book of a book offWe a book of a book off a book of a book of the book off
1,16,0,unguided,0,1,9.063813209533691,"The book toSamsung, the devices are everywhere but maybe would not use them openly... not just the book to"
1,17,0,unguided,0,1,8.854683876037598,The book not had to came packed in boring boxes like some of the goddamn The book didn't have to be
1,18,0,unguided,0,1,6.987027168273926,The book's address was actual literature. It played out like an actual literature game when there was an actual canon
