sample_idx,pos,gt_tok,rec_tok,exact,top5,avg_kl_gpt2sft,num_masks
3,34,11084,17783,0,1,0.01571427285671234,1
9,19,400,400,1,1,2.9744965601707918e-08,1
15,17,1375,1355,0,1,12.115190505981445,1
21,41,13,13,1,1,9.359791874885559e-08,1
27,4,393,290,0,1,3.9955484867095947,1
33,1,2739,717,0,0,5.123894691467285,1
39,18,16636,3085,0,1,5.31294584274292,1
45,3,1839,1839,1,1,-4.6566128730773926e-09,1
51,18,16736,16069,0,1,6.358729362487793,1
57,11,440,440,1,1,3.5804816889140056e-09,1
63,16,30151,2063,0,0,1.9197163581848145,1
69,22,393,286,0,0,8.109964370727539,1
75,32,42497,12,0,0,15.10966968536377,1
81,7,805,805,1,1,-1.7971615307033062e-09,1
87,21,329,329,1,1,-1.3127760212228168e-08,1
93,14,796,784,0,1,10.129264831542969,1
99,13,290,290,1,1,-1.3690441846847534e-07,1
105,13,952,1391,0,0,6.83790397644043,1
111,6,290,796,0,0,7.250946044921875,1
117,27,2488,2488,1,1,-3.733699127650425e-09,1
123,28,550,973,0,1,7.942295074462891,1
129,11,41498,41498,1,1,7.450676520193156e-09,1
135,2,642,632,0,0,3.9170982837677,1
141,29,837,837,1,1,-1.3247809516059306e-09,1
147,2,6607,354,0,1,3.499032974243164,1
153,5,3841,290,0,0,9.115453720092773,1
159,7,4473,6869,0,0,4.52523136138916,1
165,39,5323,11,0,0,9.104247093200684,1
171,24,14729,14729,1,1,-2.9016518965363503e-08,1
177,10,796,796,1,1,-2.452600256219739e-08,1
183,7,837,4505,0,0,4.166713714599609,1
189,9,796,3765,0,1,1.8418608903884888,1
195,11,837,11,0,0,0.2680651545524597,1
