sample_idx,pos,gt_tok,rec_tok,exact,top5,avg_kl_gpt2sft,num_masks
3,34,11084,17783,0,1,0.01571427285671234,1
9,19,400,32534,0,1,1.120456576347351,1
15,17,1375,1355,0,1,12.115190505981445,1
21,41,13,13,1,1,9.359791874885559e-08,1
27,4,393,290,0,1,3.9955484867095947,1
33,1,2739,9012,0,0,13.034794807434082,1
39,18,16636,4097,0,1,3.2496142387390137,1
45,3,1839,2714,0,1,2.9720497131347656,1
51,18,16736,16069,0,1,6.358729362487793,1
57,11,440,314,0,1,5.72720193862915,1
63,16,30151,5228,0,0,2.601240396499634,1
69,22,393,878,0,1,9.660400390625,1
75,32,42497,12,0,0,15.10966968536377,1
81,7,805,805,1,1,-1.7971615307033062e-09,1
87,21,329,329,1,1,-1.3127760212228168e-08,1
93,14,796,784,0,1,10.129264831542969,1
99,13,290,290,1,1,-1.3690441846847534e-07,1
105,13,952,9390,0,0,1.30485200881958,1
111,6,290,362,0,0,8.504111289978027,1
117,27,2488,2488,1,1,-3.733699127650425e-09,1
123,28,550,550,1,1,4.0279701352119446e-08,1
129,11,41498,41498,1,1,7.450676520193156e-09,1
135,2,642,543,0,0,5.434118270874023,1
141,29,837,837,1,1,-1.3247809516059306e-09,1
147,2,6607,354,0,1,3.499032974243164,1
153,5,3841,12935,0,0,1.7564753293991089,1
159,7,4473,5776,0,0,0.5058895349502563,1
165,39,5323,3459,0,0,7.065605163574219,1
171,24,14729,14729,1,1,-2.9016518965363503e-08,1
177,10,796,764,0,1,10.51810359954834,1
183,7,837,3284,0,0,4.473414897918701,1
189,9,796,796,1,1,-4.656612873077393e-10,1
195,11,837,26,0,0,0.43379637598991394,1
