prompt_idx,target_label,gamma,arm,judged_label,hit_target,clf_self_label,span_nll,mean_eligible,frac_le1_eligible,text
3,0,-1,realtext,0,1,0,,,,or doing last year's taxes with your ex-wife.
3,0,2.0,unguided,1,0,0,7.609935760498047,,,"or doing last year's taxes with your exTERN and taxable reports filed by you, along with your reasonfor being present in the United Kingdom,"
3,0,2.0,guided,0,1,0,2.079486131668091,19.4423,0.06,or doing last year's taxes with your exes.or doing last year's taxes with your exes.or doing last year's
3,1,2.0,unguided,1,1,0,7.609935760498047,,,"or doing last year's taxes with your exTERN and taxable reports filed by you, along with your reasonfor being present in the United Kingdom,"
3,1,2.0,guided,0,0,0,5.764094352722168,22.8104,0.0289,"or doing last year's taxes with your exeletor doing last year's taxes with your exeptor doing tax returns, including"
3,0,4.0,unguided,1,0,0,7.609935760498047,,,"or doing last year's taxes with your exTERN and taxable reports filed by you, along with your reasonfor being present in the United Kingdom,"
3,0,4.0,guided,0,1,0,7.17970609664917,29.1246,0.0032,or doing last year's taxes with your ex's and tax numbers Your ex's and rate of your ex's tax to you.
3,1,4.0,unguided,1,1,0,7.609935760498047,,,"or doing last year's taxes with your exTERN and taxable reports filed by you, along with your reasonfor being present in the United Kingdom,"
3,1,4.0,guided,0,0,0,6.055129528045654,31.0085,0.0,or doing last year's taxes with your exe you on last year a's taxes and the last year a '. the what you do
12,1,-1,realtext,1,1,1,,,,the emotions are raw and will strike a nerve with anyone who's ever had family trauma.
12,0,2.0,unguided,1,0,1,9.963065147399902,,,the emotions are raw and will strike a nerve with a few steps across the dark for the firstthe bell goes ringing and this quote will be pure in
12,0,2.0,guided,1,0,0,7.0244903564453125,31.0288,0.0,"the emotions are raw and will strike a nerve with someone even thinks it's in and whatthe emotions are, and will strike a nerve with the who"
12,1,2.0,unguided,1,1,1,9.963065147399902,,,the emotions are raw and will strike a nerve with a few steps across the dark for the firstthe bell goes ringing and this quote will be pure in
12,1,2.0,guided,1,1,1,5.123340129852295,25.6603,0.1075,the emotions are raw and will strike a nerve withthe-number-of-people-who-want-to-make-their-better-
12,0,4.0,unguided,1,0,1,9.963065147399902,,,the emotions are raw and will strike a nerve with a few steps across the dark for the firstthe bell goes ringing and this quote will be pure in
12,0,4.0,guided,1,0,0,8.724876403808594,31.9977,0.0,"the emotions are raw and will strike a nerve with someonea or The TheThe The the or are , a a is your are a the The"
12,1,4.0,unguided,1,1,1,9.963065147399902,,,the emotions are raw and will strike a nerve with a few steps across the dark for the firstthe bell goes ringing and this quote will be pure in
12,1,4.0,guided,1,1,1,4.827332973480225,27.0599,0.0544,the emotions are raw and will strike a nerve with both. Work-in-the-office-and-live-in-the-house-
21,1,-1,realtext,1,1,1,,,,it's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part.
21,0,2.0,unguided,1,0,1,7.223307132720947,,,it's an offbeat treat that pokes shade on something that’s moving too fast or something that isn’t up for discussion
21,0,2.0,guided,1,0,1,8.214303970336914,31.2147,0.0,it's an offbeat treat that pokes the bite out of the other with their aces''s and offbeat' ait '
21,1,2.0,unguided,1,1,1,7.223307132720947,,,it's an offbeat treat that pokes shade on something that’s moving too fast or something that isn’t up for discussion
21,1,2.0,guided,0,0,1,4.5437211990356445,27.7053,0.0023,it's an offbeat treat that pokes fun on the culture but has little in the way of'real' value. Sign up for more
21,0,4.0,unguided,1,0,1,7.223307132720947,,,it's an offbeat treat that pokes shade on something that’s moving too fast or something that isn’t up for discussion
21,0,4.0,guided,1,0,1,11.744884490966797,31.8776,0.0,it's an offbeat treat that pokes its viewer out of the through. you � your areit  and�it� (it '
21,1,4.0,unguided,1,1,1,7.223307132720947,,,it's an offbeat treat that pokes shade on something that’s moving too fast or something that isn’t up for discussion
21,1,4.0,guided,1,1,1,6.86500883102417,29.5466,0.0044,it's an offbeat treat that pokes out on – and makes contact with – information and information from the news source. Sign up for free
30,1,-1,realtext,1,1,1,,,,"as surreal as a dream and as detailed as a photograph, as visually dexterous as it is at times imaginatively overwhelming."
