sample_idx,baseline,avg_kl,exact_match,num_masks
0,ground_truth,2.0954757928848267e-08,1,1
0,untouched,0.4258495271205902,0,1
0,random_token,0.9572268724441528,0,1
0,cond_argmax,2.0954757928848267e-08,1,1
0,cond_sample,0.16644823551177979,0,1
0,cond_topk_rescore,0.12435400485992432,0,1
0,gibbs,7.179590225219727,0,1
1,ground_truth,-4.537662334769266e-08,1,1
1,untouched,10.45833683013916,0,1
1,random_token,12.928396224975586,0,1
1,cond_argmax,11.292738914489746,0,1
1,cond_sample,11.292738914489746,0,1
1,cond_topk_rescore,7.23509407043457,0,1
1,gibbs,10.45833683013916,0,1
2,ground_truth,-1.6763806343078613e-08,1,1
2,untouched,3.729247570037842,0,1
2,random_token,5.345439910888672,0,1
2,cond_argmax,-1.6763806343078613e-08,1,1
2,cond_sample,-1.6763806343078613e-08,1,1
2,cond_topk_rescore,-1.6763806343078613e-08,1,1
2,gibbs,-1.6763806343078613e-08,1,1
3,ground_truth,-2.9802851742033454e-08,1,1
3,untouched,1.1478288173675537,0,1
3,random_token,5.575812339782715,0,1
3,cond_argmax,-2.9802851742033454e-08,1,1
3,cond_sample,-2.9802851742033454e-08,1,1
3,cond_topk_rescore,-2.9802851742033454e-08,1,1
3,gibbs,-2.9802851742033454e-08,1,1
4,ground_truth,-7.450580596923828e-09,1,1
4,untouched,7.251689434051514,0,1
4,random_token,12.2897367477417,0,1
4,cond_argmax,7.457744121551514,0,1
4,cond_sample,7.457744121551514,0,1
4,cond_topk_rescore,0.43615710735321045,0,1
4,gibbs,7.457744121551514,0,1
5,ground_truth,-3.9047222344379406e-08,1,1
5,untouched,2.197518825531006,0,1
5,random_token,2.299952507019043,0,1
5,cond_argmax,3.1576106548309326,0,1
5,cond_sample,3.158849000930786,0,1
5,cond_topk_rescore,-3.9047222344379406e-08,1,1
5,gibbs,2.197518825531006,0,1
6,ground_truth,-5.960464477539063e-08,1,1
6,untouched,4.842511177062988,0,1
6,random_token,1.067513108253479,0,1
6,cond_argmax,9.176730155944824,0,1
6,cond_sample,11.091946601867676,0,1
6,cond_topk_rescore,0.10916650295257568,0,1
6,gibbs,-5.960464477539063e-08,1,1
7,ground_truth,3.4226104617118835e-08,1,1
7,untouched,13.71650505065918,0,1
7,random_token,9.184164047241211,0,1
7,cond_argmax,11.125093460083008,0,1
7,cond_sample,11.125093460083008,0,1
7,cond_topk_rescore,6.982469081878662,0,1
7,gibbs,6.982469081878662,0,1
