sample_idx,pos,gt_tok,rec_tok,exact,top5,avg_kl_gpt2sft,num_masks
2,2,286,286,1,1,4.470348358154297e-08,1
8,7,416,416,1,1,6.186121481732698e-08,1
14,4,5567,2351,0,0,10.839414596557617,1
20,14,5093,788,0,1,7.082920551300049,1
26,8,10350,17704,0,0,9.989398956298828,1
32,7,13,13,1,1,-7.449727945640916e-09,1
38,7,13922,14526,0,0,0.5437712073326111,1
44,8,24414,23859,0,0,0.019740886986255646,1
50,2,4074,4074,1,1,2.7470605346024968e-08,1
56,8,42328,42328,1,1,-2.9802322387695312e-08,1
62,13,837,357,0,1,6.714280128479004,1
68,20,2168,2168,1,1,-2.5198005459969863e-08,1
74,45,45714,872,0,0,10.089349746704102,1
80,1,9368,24893,0,1,4.286139488220215,1
86,7,31093,31093,1,1,2.608481786126049e-08,1
92,8,8699,1596,0,0,11.257437705993652,1
98,9,257,262,0,1,2.494131326675415,1
104,4,784,11,0,0,5.923642158508301,1
110,5,282,282,1,1,-3.1014502077653106e-10,1
116,7,4539,14901,0,1,2.6484673023223877,1
122,18,1969,15909,0,1,0.03071490302681923,1
128,9,290,290,1,1,2.561137080192566e-09,1
134,1,10304,702,0,0,9.294402122497559,1
140,20,30685,2665,0,0,2.4898900985717773,1
146,24,1793,3126,0,0,0.9136210680007935,1
152,3,705,347,0,1,10.259485244750977,1
158,8,796,796,1,1,5.471520125865936e-09,1
164,16,31526,5618,0,0,3.5633444786071777,1
170,7,1875,1875,1,1,2.612637217680458e-08,1
176,3,3517,17165,0,1,10.554652214050293,1
182,4,263,276,0,1,5.131316661834717,1
188,6,24414,2319,0,0,4.766220569610596,1
194,1,796,28,0,1,6.716436862945557,1
