seq_id,strategy,gen_len,scored_len,emitted_eos,hit_cap,total_logp,mean_logp,rep4,distinct2,text
0,greedy,40,40,0,1,-12.369682312011719,-0.30924205780029296,0.8108108108108109,0.1794871794871795,8ece-daa9-daa9-daa9-daa9-daa9-daa9-daa9-daa9-daa9-
0,beam5,40,40,0,1,-6.430219650268555,-0.16075549125671387,0.5675675675675675,0.358974358974359,ecea-592ee9ae-5cea-442c-ecea-592ee9ae-5cea-442c-ecea-592ee9ae
0,beam20,40,40,0,1,-4.236735820770264,-0.1059183955192566,0.8108108108108109,0.1794871794871795,5cea-442c-5cea-442c-5cea-442c-5cea-442c-5cea-442c-5cea-442
0,ancestral,40,40,0,1,-86.5992431640625,-2.1649810791015627,0.0,0.8461538461538461,b103. Dick came to the clinic to receive his vaccination. Dick went from room to room making sure nobody had vaccination. Dick bought a vaccine from the pharmacy. Dick went to the insurance office to
0,topp90,40,40,0,1,-66.81800842285156,-1.670450210571289,0.05405405405405406,0.7692307692307693,cbdc-e8a3-fc9e-d24b-e2a2-cbc2-a2c8-b7c8-a2c8
0,temp07,40,40,0,1,-46.150779724121094,-1.1537694931030273,0.43243243243243246,0.48717948717948717,246d-e84b-5e84b-246d-e84b-5e84b-246d-e84b. James arrived at the mansion late one night.
1,greedy,40,40,0,1,-13.224323272705078,-0.33060808181762696,0.7567567567567568,0.23076923076923078,a8-cdaa-dbaa-dbaa-dbaa-dbaa-dbaa-dbaa-dbaa-dbaa-d
1,beam5,40,40,0,1,-11.676705360412598,-0.29191763401031495,0.7837837837837838,0.15384615384615385,a8-daa8-fdaa8-fdaa8-fdaa8-fdaa8-fdaa8-fdaa8-fdaa
1,beam20,40,40,0,1,-11.676705360412598,-0.29191763401031495,0.7837837837837838,0.15384615384615385,a8-daa8-fdaa8-fdaa8-fdaa8-fdaa8-fdaa8-fdaa8-fdaa
1,ancestral,40,40,0,1,-71.31329345703125,-1.7828323364257812,0.0,0.9230769230769231,fdaa8daa. he moved to a new house a few months ago. he had a big fancy dining room with beautiful wallpaper. he wanted to find a special restaurant that would bring him
1,topp90,40,40,0,1,-49.687255859375,-1.242181396484375,0.43243243243243246,0.5128205128205128,a5-cfc4-8e9b-e8d1-c8d2-c8d2-c8d2-c8d2-c8d
1,temp07,40,40,0,1,-38.35416793823242,-0.9588541984558105,0.35135135135135137,0.5384615384615384,a8-fdaa-7e8a-c6c9-d07a-bfc8-fdaa-bfc8-fdaa-bfc8
2,greedy,40,40,0,1,-13.943227767944336,-0.3485806941986084,0.7837837837837838,0.20512820512820512,-8a7a-dbaa-dbaa-dbaa-dbaa-dbaa-dbaa-dbaa-dbaa-dba
2,beam5,40,40,0,1,-13.175048828125,-0.329376220703125,0.24324324324324326,0.6666666666666666,-b0f2d473-ea69-434d-b0f2d473. Jane went to the store to buy groceries for her family. Jane went to the store to buy
