sampler,seq_id,step,epsilon,method,grad_norm,crossed,n_positions,n_crossed,accepted,log_alpha,log_target_ratio,log_proposal_ratio,log_q_back,log_q_fwd,step_norm,drift_norm,noise_norm,config
cls,0,0,10.5,policy,False,1,1,1,1,342.2156677246094,12.074066162109375,330.1416015625,-2956.264892578125,-3286.406494140625,151.66696166992188,196.97433471679688,112.74299621582031,cls_policy_gnoff_mh
cls,0,1,10.287755102040816,policy,False,1,1,1,0,-159.86044311523438,-4.806488037109375,-155.053955078125,-3476.215087890625,-3321.1611328125,140.4405975341797,7.0502753257751465,115.922607421875,cls_policy_gnoff_mh
cls,0,2,10.075510204081633,policy,False,1,1,1,0,-155.32168579101562,-4.514068603515625,-150.8076171875,-3482.456298828125,-3331.648681640625,140.48501586914062,6.904821872711182,116.79468536376953,cls_policy_gnoff_mh
cls,0,3,9.863265306122448,policy,False,1,1,1,0,-196.43905639648438,-12.136077880859375,-184.302978515625,-3472.00146484375,-3287.698486328125,137.2335662841797,6.759369373321533,112.94003295898438,cls_policy_gnoff_mh
cls,0,4,9.651020408163266,policy,False,1,1,1,0,-182.10391235351562,-9.157623291015625,-172.9462890625,-3468.22802734375,-3295.28173828125,137.01673889160156,6.613916397094727,113.56088256835938,cls_policy_gnoff_mh
cls,0,5,9.438775510204081,policy,False,1,1,1,0,-214.10446166992188,2.111114501953125,-216.215576171875,-3441.344970703125,-3225.12939453125,130.68069458007812,6.468462944030762,107.50265502929688,cls_policy_gnoff_mh
cls,0,6,9.226530612244897,policy,False,1,1,1,0,-249.7997589111328,-3.7802276611328125,-246.01953125,-3472.23291015625,-3226.21337890625,133.3791961669922,6.3230109214782715,107.63617706298828,cls_policy_gnoff_mh
cls,0,7,9.014285714285714,policy,False,1,1,1,0,-221.80064392089844,2.4049224853515625,-224.20556640625,-3461.160400390625,-3236.954833984375,132.16188049316406,6.177557468414307,108.54130554199219,cls_policy_gnoff_mh
cls,0,8,8.80204081632653,policy,False,1,1,1,0,-249.4499053955078,-5.4337921142578125,-244.01611328125,-3460.309326171875,-3216.293212890625,130.71926879882812,6.0321044921875,106.810791015625,cls_policy_gnoff_mh
cls,0,9,8.589795918367347,policy,False,0,1,0,0,-285.9085693359375,-1.4478759765625,-284.460693359375,-3481.24853515625,-3196.787841796875,131.0262451171875,5.886651515960693,105.19849395751953,cls_policy_gnoff_mh
cls,0,10,8.377551020408163,policy,False,1,1,1,0,-345.6457824707031,-10.722198486328125,-334.923583984375,-3504.950439453125,-3170.02685546875,128.63961791992188,5.7411980628967285,103.02030944824219,cls_policy_gnoff_mh
cls,0,11,8.16530612244898,policy,False,1,1,1,0,-342.6684875488281,-14.576202392578125,-328.09228515625,-3483.34716796875,-3155.2548828125,127.28672790527344,5.595745086669922,101.83942413330078,cls_policy_gnoff_mh
cls,0,12,7.953061224489796,policy,False,1,1,1,0,-325.6085510253906,-5.116607666015625,-320.491943359375,-3465.677978515625,-3145.18603515625,125.5604248046875,5.450292110443115,101.04273986816406,cls_policy_gnoff_mh
cls,0,13,7.740816326530612,policy,False,1,1,1,0,-383.05279541015625,-13.09185791015625,-369.9609375,-3464.44921875,-3094.48828125,122.69799041748047,5.304839134216309,97.05824279785156,cls_policy_gnoff_mh
cls,0,14,7.5285714285714285,policy,False,1,1,1,0,-365.6741027832031,2.762176513671875,-368.436279296875,-3459.50146484375,-3091.065185546875,121.39517211914062,5.159386157989502,96.84203338623047,cls_policy_gnoff_mh
cls,0,15,7.316326530612244,policy,False,1,1,1,0,-392.2400207519531,6.483856201171875,-398.723876953125,-3493.07421875,-3094.350341796875,123.2948226928711,5.013933181762695,97.10747528076172,cls_policy_gnoff_mh
cls,0,16,7.104081632653061,policy,False,0,1,0,0,-421.0412292480469,-2.687469482421875,-418.353759765625,-3496.798828125,-3078.445068359375,121.91838073730469,4.868480205535889,95.90626525878906,cls_policy_gnoff_mh
cls,0,17,6.891836734693877,policy,False,0,1,0,0,-525.3292236328125,-16.785751342773438,-508.54345703125,-3506.5712890625,-2998.02783203125,118.47306823730469,4.723026752471924,89.90180969238281,cls_policy_gnoff_mh
cls,0,18,6.679591836734693,policy,False,1,1,1,0,-531.64697265625,7.614288330078125,-539.26123046875,-3539.282470703125,-3000.021240234375,120.16242980957031,4.577574253082275,90.1526870727539,cls_policy_gnoff_mh
cls,0,19,6.46734693877551,policy,False,1,1,1,0,-544.2146606445312,-19.650680541992188,-524.56396484375,-3527.291015625,-3002.72705078125,117.59632110595703,4.432121276855469,90.3967056274414,cls_policy_gnoff_mh
cls,0,20,6.255102040816326,policy,False,1,1,1,0,-600.4443359375,-18.563018798828125,-581.88134765625,-3538.02783203125,-2956.146484375,116.09993743896484,4.286668300628662,87.10811614990234,cls_policy_gnoff_mh
cls,0,21,6.042857142857143,policy,False,1,1,1,0,-547.3228149414062,0.32635498046875,-547.649169921875,-3523.3056640625,-2975.656494140625,114.4128646850586,4.141214847564697,88.50515747070312,cls_policy_gnoff_mh
cls,0,22,5.830612244897959,policy,False,1,1,1,0,-693.139892578125,-5.948760986328125,-687.191162109375,-3616.748046875,-2929.556884765625,117.62662506103516,3.9957621097564697,85.3656997680664,cls_policy_gnoff_mh
cls,0,23,5.618367346938775,policy,False,1,1,1,0,-658.7314453125,-14.50927734375,-644.22216796875,-3572.986328125,-2928.76416015625,113.00385284423828,3.850309133529663,85.32168579101562,cls_policy_gnoff_mh
cls,0,24,5.406122448979591,policy,False,1,1,1,0,-758.09130859375,-12.968475341796875,-745.122802734375,-3602.143798828125,-2857.02099609375,111.02729034423828,3.7048561573028564,80.5949935913086,cls_policy_gnoff_mh
cls,0,25,5.193877551020408,policy,False,1,1,1,0,-752.858642578125,-0.082733154296875,-752.77587890625,-3668.5859375,-2915.81005859375,115.10492706298828,3.55940318107605,84.365234375,cls_policy_gnoff_mh
cls,0,26,4.981632653061224,policy,False,1,1,1,0,-820.91748046875,-3.395721435546875,-817.521728515625,-3636.72802734375,-2819.206298828125,107.9865951538086,3.413949966430664,78.29558563232422,cls_policy_gnoff_mh
cls,0,27,4.7693877551020405,policy,False,0,1,0,0,-890.150634765625,-0.739501953125,-889.4111328125,-3688.611328125,-2799.2001953125,108.42974853515625,3.2684969902038574,77.0972671508789,cls_policy_gnoff_mh
cls,0,28,4.557142857142857,policy,False,1,1,1,0,-954.2540283203125,1.609222412109375,-955.86328125,-3748.8056640625,-2792.9423828125,109.26145935058594,3.123044013977051,76.73310852050781,cls_policy_gnoff_mh
cls,0,29,4.3448979591836725,policy,False,1,1,1,0,-997.2654418945312,3.7333221435546875,-1000.998779296875,-3743.034912109375,-2742.0361328125,105.11875915527344,2.977590799331665,73.73347473144531,cls_policy_gnoff_mh
cls,0,30,4.132653061224489,policy,False,0,1,0,0,-1105.4600830078125,-11.2894287109375,-1094.170654296875,-3786.88134765625,-2692.710693359375,103.22373962402344,2.8321380615234375,70.9104232788086,cls_policy_gnoff_mh
cls,0,31,3.9204081632653054,policy,False,1,1,1,0,-1151.1856689453125,-11.161727905273438,-1140.02392578125,-3838.1630859375,-2698.13916015625,103.1578369140625,2.6866848468780518,71.25435638427734,cls_policy_gnoff_mh
cls,0,32,3.708163265306122,policy,False,0,1,0,0,-1243.5179443359375,-5.4591522216796875,-1238.058837890625,-3919.326171875,-2681.267333984375,103.39239501953125,2.541231870651245,70.29487609863281,cls_policy_gnoff_mh
cls,0,33,3.4959183673469383,policy,False,1,1,1,0,-1404.8651123046875,-3.6197509765625,-1401.245361328125,-3987.1240234375,-2585.878662109375,100.48313903808594,2.3957788944244385,65.23298645019531,cls_policy_gnoff_mh
